metric	expected_direction	beta	se	p	mean_asd	mean_control	aligned_effect	n_asd	n_control
candidate_minus_reference	ASD > Control	0.379234812662959	0.272724949929172	0.170403558388189	0.380829797100098	0.268113564078937	0.379234812662959	28	25
candidate_state_score	ASD > Control	0.266990589588069	0.27532009471381	0.336749811088506	0.929069086941647	0.869553052048333	0.266990589588069	28	25
reference_like_score	ASD < Control	-0.21951710497882	0.276141307168623	0.430329660304261	0.548239289841549	0.601439487969397	0.21951710497882	28	25
prop_c2	ASD > Control	0.500099294604169	0.268877242661335	0.0686638840916548	0.260312868989075	0.205845448360221	0.500099294604169	28	25
log2_ratio_c2_over_c0	ASD > Control	0.508621729759431	0.268563600863943	0.0639222460514714	-1.61862429777382	-2.20527080481178	0.508621729759431	28	25
