logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
-0.723382452981408	8.337247228692	-11.5974053788214	3.93045888173934e-17	1.54113292752999e-13	28.6746373998991	NRG3
-0.709805136433744	9.0683752294135	-11.4082411466318	7.88529023577402e-17	1.5459111507235e-13	28.0087109932078	RBFOX1
-0.707545333520942	8.33135768579502	-11.0221518406636	3.30934735156529e-16	4.32531698849583e-13	26.5944677864749	LRRTM4
-0.787989461302989	9.4363094405407	-10.7437697943067	9.40954885413271e-16	7.37896821141087e-13	25.5473173588495	KCNIP4
-0.582689200161992	9.56118964056401	-10.7679565695201	8.58987684323238e-16	7.37896821141087e-13	25.6452855379935	FP671120.1
-0.688913374670157	8.5825403231769	-10.6841345139745	1.17837681862385e-15	7.70069250970683e-13	25.347376391211	LRP1B
-0.65686841728339	8.74331915440321	-10.5810641293851	1.74010372285113e-15	9.74706671042756e-13	24.9632995098958	CNTNAP2
-0.911039367732001	6.66297950434618	-10.4341643504138	3.03898430373753e-15	1.19158574549549e-12	24.2226264834969	CSMD3
-0.800195443288931	7.50640672060793	-10.4605350198463	2.74905626797075e-15	1.19158574549549e-12	24.4546194635434	CTNNA2
-0.735392433817447	8.99432834104574	-10.456962850125	2.78663640826982e-15	1.19158574549549e-12	24.496062281317	CSMD1
-0.572134245947034	9.09093967896523	-10.3941968260182	3.53823726433481e-15	1.2612207557688e-12	24.2465857834819	SYT1
-0.647358002518039	8.23433937598268	-10.1968667295616	7.51637863864091e-15	2.45597672017592e-12	23.5274588324472	ROBO2
-0.613235971970233	8.88766956619238	-9.97242924565981	1.77946327316368e-14	5.36713499544216e-12	22.6644315486072	CADM2
-0.621350550551753	8.2827947799082	-9.66991717649658	5.72975772863971e-14	1.60474143242831e-11	21.5345815928853	GPM6A
-0.649414865107935	8.38466754196792	-9.46358088415439	1.27822250977021e-13	3.34127364053932e-11	20.7437066462452	LSAMP
-0.700837768413143	7.28982381365462	-9.31839881144441	2.25289426900854e-13	5.52099901798905e-11	20.182835333342	ADGRL3
-0.711776054170244	7.34793536804403	-9.2948101195859	2.47059925152138e-13	5.6983645089502e-11	20.0812474988539	RIMS2
-0.515660531805968	8.01528287846364	-9.18111470665805	3.85621416528978e-13	8.4001198567229e-11	19.6652533863295	SPARCL1
-0.740835042313453	7.94503910130341	-9.05068449189988	6.43431715025422e-13	1.32783987084983e-10	19.1702469499204	FAM155A
-0.708830169048639	7.02500142016324	-9.01207291359816	7.48902215006117e-13	1.46822279251949e-10	18.9605580026381	DLGAP2
-0.665092690315154	7.53308265967795	-8.9851517746489	8.32559211716965e-13	1.55450698530582e-10	18.9126414627531	NKAIN2
-0.629138215011688	8.42431333950972	-8.86306267087057	1.34663494460686e-12	2.40007073536522e-10	18.4343041499676	DPP10
-0.546176479316773	8.55567892347681	-8.83665637612881	1.49442392126895e-12	2.54766791099806e-10	18.3153129626768	NRXN3
-0.703860901165123	8.15839986630715	-8.79671199790887	1.74952257539581e-12	2.85828250755291e-10	18.1900468057907	DLGAP1
-0.718970466185436	6.74459607741561	-8.73242224855399	2.25512587668852e-12	3.27494391203545e-10	17.9018488238823	CNTN5
-0.652662374781627	6.36107183854791	-8.7492498759721	2.11009731025935e-12	3.27494391203545e-10	17.8860941456695	CADM1
-0.53659646841691	9.03792238393504	-8.73462063561585	2.23562509248417e-12	3.27494391203545e-10	17.9146401898954	FP236383.1
-0.729416988251326	7.05890569719526	-8.66619493038225	2.92991700431318e-12	4.10293020496857e-10	17.6668596508292	DMD
-0.720560366288557	6.72353448061094	-8.444651776996	7.04527734336529e-12	9.52570084942596e-10	16.7552902294322	SLC24A2
-0.647685094933161	7.5093267009236	-8.26103362074292	1.46038731049934e-11	1.90872621482264e-09	16.1287326373354	ERBB4
-0.734160230980767	6.40894961802926	-8.25166966828816	1.51575122779711e-11	1.91718082715886e-09	15.9963591735735	FRMD5
-0.682736461806018	7.43184703844959	-8.19654970183403	1.88703228395802e-11	2.22326927297938e-09	15.8785159195973	STXBP5L
-0.653141559733367	9.37983394846391	-8.19116677172777	1.9278539985029e-11	2.22326927297938e-09	15.7163142342959	PCDH9
-0.424936637850163	8.3972937201826	-8.20219492195662	1.84515170955872e-11	2.22326927297938e-09	15.8692925924252	ANK2
-0.519336022553492	9.46352243300099	-8.14349752614475	2.33025652313108e-11	2.61055309348485e-09	15.5402244692439	DLG2
-0.629623160140948	7.90878587391562	-8.11052380571354	2.65687374008764e-11	2.89377831524545e-09	15.5399786702558	ANKS1B
-0.555374014028609	7.03562280125612	-8.07287173422363	3.08629696361283e-11	3.27064064711511e-09	15.3969226071326	CLU
-0.496511225965204	10.3793268220521	-8.05407382619259	3.32605120911881e-11	3.43195968183022e-09	15.1152810776031	AC244021.1
-0.587529680896532	7.50248953571786	-8.04619932293852	3.43194900528114e-11	3.4504287306942e-09	15.299227092687	ATRNL1
-0.660286565110437	8.82757731267034	-8.03707069799846	3.55894666237219e-11	3.48865746579034e-09	15.1677897751347	PTPRD
-0.691636997208033	5.74482900943261	-7.98073171761674	4.45383870570439e-11	4.23517617666586e-09	14.969143701823	MT3
-0.653199646364821	7.00560245031846	-7.97611183797085	4.53653148227406e-11	4.23517617666586e-09	15.0246140348473	SLC1A2
-0.773926888370501	6.37494545491829	-7.92449927892476	5.57178264668355e-11	4.99546009248917e-09	14.784558985655	SGCZ
-0.72362083780378	6.87854245294402	-7.9229747810249	5.60571905303554e-11	4.99546009248917e-09	14.8144923059985	ARPP21
-0.723628003479826	7.71697560569774	-7.89742339634537	6.20632271901474e-11	5.40777586250151e-09	14.7148035233603	FGF14
-0.727393656652826	6.25281433983258	-7.8680297296265	6.97735121372727e-11	5.94743350196187e-09	14.5048560392733	RGS6
-0.749888777393825	6.9889985266125	-7.83935172623832	7.82193819665489e-11	6.38954576439246e-09	14.4979779576177	SNTG1
-0.626541848519985	7.52061644938733	-7.844119668881	7.67473988327801e-11	6.38954576439246e-09	14.5191943194042	AGBL4
-0.749557385114903	7.13654781528872	-7.81315459953702	8.68260013574973e-11	6.94785206781116e-09	14.399214634618	RYR2
-0.645415112165026	6.86523587021032	-7.80346742690219	9.02432894734429e-11	7.07687876050739e-09	14.356339409295	GRM5
-0.621342279940091	8.07770153517943	-7.74636765062435	1.13303672623162e-10	8.71105294814545e-09	14.1351763298531	TIMM23B
-0.633162836636141	7.40897748101368	-7.72460581538677	1.23570035400592e-10	9.31765593857159e-09	14.0545682829052	NCAM2
-0.703150355814304	5.88657033239891	-7.64239986912106	1.71482911315082e-10	1.26864999106875e-08	13.6369472724924	EDIL3
-0.602112191781907	7.26919097586288	-7.63428110036017	1.77123398495035e-10	1.28611267685006e-08	13.7093966793865	PPP2R2B
-0.583250078069862	7.82068066101638	-7.62893088393863	1.80941495675779e-10	1.28994837189951e-08	13.6651248035317	OPCML
-0.543551673150176	7.46562707379997	-7.60281949775226	2.00790003993345e-10	1.40588858153197e-08	13.5831350016589	NRCAM
-0.629416733626125	6.95162553304879	-7.53371278084506	2.64470605984386e-10	1.81927937906101e-08	13.2896827384816	AC092683.1
-0.803189637491768	6.44927046072561	-7.52599617775948	2.72731739682845e-10	1.84376060568351e-08	13.2739226311196	CHRM3
-0.535697494745838	7.70966520308402	-7.50783125923321	2.93211186299852e-10	1.94861196861308e-08	13.2092447060791	CCSER1
-0.625322687672542	8.59047130275803	-7.5021959857232	2.99871667572808e-10	1.9596613475883e-08	13.089223115399	NRXN1
-0.608835493024678	7.06323624129785	-7.48822538569843	3.17043395452777e-10	2.03791336650875e-08	13.1469180574677	NCAM1
-0.596200754765565	7.5195762263752	-7.47638839161247	3.32359549193931e-10	2.10190611675711e-08	13.0902154058949	IQCJ-SCHIP1
-0.566744640346005	6.98542453911219	-7.43981489918467	3.84513933173572e-10	2.39314147932313e-08	12.9605747107462	DCLK1
-0.661059522813745	6.66479699762851	-7.43277439982334	3.95455439449262e-10	2.42278246575087e-08	12.9305307577967	LINGO2
-0.387321454865693	7.49574968515926	-7.36068045101483	5.27058691314427e-10	3.17938019791364e-08	12.6178103541198	CKB
-0.565337369001489	7.11385230238075	-7.31891107020549	6.22480677180608e-10	3.69810111397752e-08	12.4905275370561	GRIK2
-0.539492181233848	7.39683046784697	-7.31102629098042	6.4234157600058e-10	3.75913629775862e-08	12.4524249459936	LRRC4C
-0.606312353568297	7.14271578703708	-7.30274270646713	6.63889048812767e-10	3.82810141234538e-08	12.4327518400696	NTRK2
-0.603458307169718	7.5516941416865	-7.29606814174515	6.81775102450775e-10	3.87426112566592e-08	12.3970022844961	ANK3
-0.582315607956619	7.65431075446781	-7.27875182159867	7.3045399670703e-10	4.09158588726895e-08	12.317394807861	PLCB1
-0.761041169437727	6.99324398363434	-7.26817570905474	7.6187678004579e-10	4.20749134445006e-08	12.2860934985621	COL19A1
-0.69442160662548	6.04414726387477	-7.1637340530732	1.15465951110752e-09	6.20194512746929e-08	11.8504033522273	XKR4
-0.556008356481389	7.20228488530497	-7.16455611542247	1.15088837668132e-09	6.20194512746929e-08	11.9007737560614	CNTN1
-0.806216138085223	5.62052258896161	-7.12341971958857	1.35555062313387e-09	7.09759457284954e-08	11.6315321067539	ZNF385B
-0.64019779994053	7.26665503137737	-7.12303777874101	1.35761181577076e-09	7.09759457284954e-08	11.7276935741541	RALYL
-0.643292184508027	6.14852857264141	-7.08094543298269	1.60503146273117e-09	8.28069521759067e-08	11.5305780461564	CACNA1B
-0.646309027796742	7.53973433835451	-7.0191265178381	2.05216711177027e-09	1.04500613574691e-07	11.3078823272186	NEGR1
-0.652705369529229	7.27912558776073	-6.99723707837195	2.23865872332909e-09	1.11673352446763e-07	11.2405011530671	NLGN1
-0.551626163202209	7.02804056426877	-6.99596677744103	2.24998593300032e-09	1.11673352446763e-07	11.2541710169642	TENM2
-0.530159868353819	7.63153621467041	-6.96997868616329	2.49468349514006e-09	1.22270674805552e-07	11.1110148610221	GRIA2
-0.545868274007543	8.48055183775935	-6.9202233836258	3.03960096401949e-09	1.4713920222124e-07	10.8914059622922	PRPF38B
-0.507437304140372	7.36788031417	-6.90811234509902	3.18928643703858e-09	1.52502342922296e-07	10.9056402226191	NTM
-0.59613484610099	6.98078433543699	-6.89885450816744	3.30864313593971e-09	1.54782049530606e-07	10.8864092258993	FAM19A2
-0.570798684218628	6.59220110220717	-6.89830148250899	3.31591230823027e-09	1.54782049530606e-07	10.881276169523	CDC42BPA
-0.738408748486563	5.68137595328108	-6.88895564101546	3.44119292745459e-09	1.58740205512347e-07	10.7843774296872	SPOCK3
-0.652726240234213	6.07657271089014	-6.87655409436149	3.61474676068683e-09	1.64807233123873e-07	10.7740748153465	ADGRL2
-0.56038341153524	6.97787104119745	-6.78432404662372	5.21049725690375e-09	2.34831721199076e-07	10.4477702040036	MDGA2
-0.589388830804952	7.33835514833573	-6.76717726430647	5.57670921230951e-09	2.42958631349618e-07	10.3532675449723	LRRC7
-0.530042298006853	6.69793867916653	-6.76980191831	5.51903492781383e-09	2.42958631349618e-07	10.3898566011287	PCDH7
-0.44567328929379	7.71493133450469	-6.77206455388611	5.46979270105322e-09	2.42958631349618e-07	10.3566279943952	NPAS3
-0.647441724778768	6.21897895828496	-6.72407344645217	6.61448842290829e-09	2.85004495672785e-07	10.1961419679057	ANKRD30BL
0.248725195781815	9.3914603425606	6.70706747134002	7.07495592051737e-09	3.01531545264659e-07	9.89970764709717	PTPRC
-0.52169607401501	6.57967884515474	-6.70283268245557	7.19449905079467e-09	3.03329363206085e-07	10.135536037447	SERPINI1
-0.640377853647538	6.15847554452146	-6.6418516967168	9.15641692377438e-09	3.77919060611783e-07	9.91074314820728	PLP1
