gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
ZNF195	0.0397351008856438	2.07658312305698e-26	0.112	0.051							TRUE	FALSE	FALSE	FALSE
ZNF197	0.017782820509587	2.40521499291783e-25	0.127	0.062							TRUE	FALSE	FALSE	FALSE
ZNF207	0.126057897158044	2.6930075613107e-68	0.51	0.271	0.103697715996615	0.162326619057672	7.82049906450939	1.90510717316684	0.0614365474831892	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF212	0.0155344445882241	2.0782829515929e-09	0.052	0.025							TRUE	FALSE	FALSE	FALSE
ZNF217	0.0331721523020129	3.3037804685114e-45	0.201	0.094	-0.0213666874820738	0.897950743666777	6.45348618703017	-0.215283709385274	0.830257272395016	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF22	0.04187449921011	7.27839075701441e-22	0.064	0.025							TRUE	FALSE	FALSE	FALSE
ZNF224	-0.0213895718396567	8.83178242340489e-20	0.115	0.058							TRUE	FALSE	FALSE	FALSE
ZNF226	-0.00922083949222008	9.57932955129045e-11	0.062	0.031							TRUE	FALSE	FALSE	FALSE
ZNF232	0.00843118218489755	5.05981966951327e-12	0.05	0.022							TRUE	FALSE	FALSE	FALSE
ZNF234	0.00338077249639027	2.31863114105999e-09	0.056	0.028							TRUE	FALSE	FALSE	FALSE
ZNF235	0.016832900609057	1.45802036262397e-19	0.14	0.076							TRUE	FALSE	FALSE	FALSE
ZNF236	0.00681460532212441	3.25583228006628e-44	0.254	0.129	-0.0554974016373626	0.62926092787696	6.80390320051335	-0.742524776313714	0.460591395819147	FALSE	TRUE	FALSE	FALSE	FALSE
ZNF236-DT	0.0143556758343714	7.839052578703e-13	0.07	0.034							TRUE	FALSE	FALSE	FALSE
ZNF24	-0.0702496655268007	1.01897969701759e-35	0.213	0.108	-0.201512874089901	0.063569643491519	6.52029603246955	-2.44378183359714	0.017412343052765	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF248	-0.0624599864876317	1.12946029651891e-21	0.235	0.138	-0.0918258357014996	0.484077049680993	6.54535835024065	-1.05252766775093	0.296668490278864	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF25	-0.0308934785065995	7.36246048975632e-13	0.116	0.066							TRUE	FALSE	FALSE	FALSE
ZNF250	0.0124074959352374	1.53828636351364e-09	0.054	0.026							TRUE	FALSE	FALSE	FALSE
ZNF251	-0.02871444227123	1.12912671786747e-26	0.176	0.093	-0.216053469306396	0.080689827717114	6.32994854525514	-2.31924367920175	0.0237129004518106	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF253	0.115306940321793	3.62594481406164e-44	0.117	0.044							TRUE	FALSE	FALSE	FALSE
ZNF254	0.12065591422352	1.44669802692735e-74	0.33	0.153	0.178422560931892	0.074690453752531	7.06696353792985	2.363773843194	0.0212584918102077	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF26	0.0301099707020821	6.90031638754471e-28	0.131	0.062							TRUE	FALSE	FALSE	FALSE
ZNF263	0.0675830712555846	6.73233062937041e-36	0.134	0.059							TRUE	FALSE	FALSE	FALSE
ZNF264	0.0088792336418998	1.7556975952924e-28	0.119	0.054							TRUE	FALSE	FALSE	FALSE
ZNF266	0.0155005376531855	3.74908196433223e-23	0.111	0.053							TRUE	FALSE	FALSE	FALSE
ZNF267	0.0635370039726739	5.98147211360519e-47	0.175	0.076							TRUE	FALSE	FALSE	FALSE
ZNF273	-0.00136515588879327	7.49120354102867e-13	0.075	0.038							TRUE	FALSE	FALSE	FALSE
ZNF274	0.0373268602881841	6.4701384311194e-22	0.093	0.043							TRUE	FALSE	FALSE	FALSE
ZNF276	-0.00439374295311135	1.523344889075e-31	0.16	0.078							TRUE	FALSE	FALSE	FALSE
ZNF277	0.0759007116090469	1.28249998002894e-42	0.254	0.131	0.110481658723187	0.351745614878854	6.61965358304312	1.34197424402537	0.1845296428987	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF28	-0.00679250978938453	3.91666488982907e-11	0.052	0.024							TRUE	FALSE	FALSE	FALSE
ZNF280C	0.0798152970397543	4.57657348895132e-22	0.074	0.03							TRUE	FALSE	FALSE	FALSE
ZNF280D	0.00241435417726155	1.06781370868857e-39	0.296	0.16	0.0133890054788486	0.90608983664319	6.99992753683575	0.196404328753387	0.844940183171664	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF281	-0.0448664079471449	6.002302971198e-08	0.065	0.035							TRUE	FALSE	FALSE	FALSE
ZNF282	0.0343737405373634	7.81612884529517e-17	0.072	0.033							TRUE	FALSE	FALSE	FALSE
ZNF283	0.0043062577218072	3.26755748454715e-11	0.063	0.031							TRUE	FALSE	FALSE	FALSE
ZNF292	-0.0283190108476328	7.46855365171932e-19	0.675	0.455	-0.0978853077888175	0.0939661961585926	8.78548489551474	-2.23699543095981	0.028915329530566	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF3	-0.00860977724036816	2.43611695816079e-10	0.06	0.029							TRUE	FALSE	FALSE	FALSE
ZNF30	0.000993253024693302	7.07840946879353e-09	0.053	0.026							TRUE	FALSE	FALSE	FALSE
ZNF302	-0.0786572038952781	2.30330471591256e-12	0.145	0.087							TRUE	FALSE	FALSE	FALSE
ZNF316	-0.0318241552133121	1.4181504292259e-09	0.078	0.042							TRUE	FALSE	FALSE	FALSE
ZNF317	-0.00013150318137678	1.68785635718986e-16	0.085	0.041							TRUE	FALSE	FALSE	FALSE
ZNF318	-0.0900538006331089	2.68139246975796e-12	0.104	0.058							TRUE	FALSE	FALSE	FALSE
ZNF32	-0.0416817295025292	4.24562564849622e-06	0.068	0.04							TRUE	FALSE	FALSE	FALSE
ZNF322	0.0234351191050162	2.09294260875988e-29	0.104	0.044							TRUE	FALSE	FALSE	FALSE
ZNF326	0.0513348051505396	5.8528609411789e-48	0.232	0.112	0.0184455800426633	0.890860872029885	6.50154278071564	0.234416719866585	0.815438828952863	TRUE	TRUE	FALSE	FALSE	FALSE
ZNF330	0.0341919494300956	2.58090388844863e-27	0.099	0.042							TRUE	FALSE	FALSE	FALSE
