gene	cell_logFC	cell_FDR	pb_logFC	pb_FDR	pct_cluster2	pct_cluster0
NRG3	-0.611343987438015	5.92138446544795e-17	-0.723382452981408	1.54113292752999e-13	0.54	0.51
RBFOX1	-0.67255882951745	1.5582202775242e-41	-0.709805136433744	1.5459111507235e-13	0.691	0.648
LRRTM4	-0.619618183021951	1.3311258658821e-22	-0.707545333520942	4.32531698849583e-13	0.591	0.557
KCNIP4	-0.694471045813261	1.04409183082867e-55	-0.787989461302989	7.37896821141087e-13	0.733	0.699
LRP1B	-0.617076274142374	1.89334506623921e-16	-0.688913374670157	7.70069250970683e-13	0.572	0.529
CNTNAP2	-0.571653082054977	8.71394942303077e-20	-0.65686841728339	9.74706671042756e-13	0.641	0.581
CSMD1	-0.683897167738157	1.60794462162178e-32	-0.735392433817447	1.19158574549549e-12	0.66	0.604
SYT1	-0.582898127903712	1.74624174207345e-38	-0.572134245947034	1.2612207557688e-12	0.718	0.676
ROBO2	-0.572403949480155	4.33638887269282e-12	-0.647358002518039	2.45597672017592e-12	0.528	0.491
CADM2	-0.599718392139268	2.37784966936773e-34	-0.613235971970233	5.36713499544216e-12	0.671	0.626
GPM6A	-0.65724105446412	2.25297951199105e-29	-0.621350550551753	1.60474143242831e-11	0.564	0.563
LSAMP	-0.618047479800123	1.47783070755885e-25	-0.649414865107935	3.34127364053932e-11	0.57	0.55
SPARCL1	-0.538191170543503	3.73041376731785e-11	-0.515660531805968	8.4001198567229e-11	0.566	0.527
FAM155A	-0.583674357101728	8.58901348080101e-07	-0.740835042313453	1.32783987084983e-10	0.485	0.442
DPP10	-0.585998666749103	7.48339308030059e-10	-0.629138215011688	2.40007073536522e-10	0.546	0.491
NRXN3	-0.563178565572369	2.00150349557904e-21	-0.546176479316773	2.54766791099806e-10	0.602	0.556
DLGAP1	-0.617257143640285	2.05473759865929e-09	-0.703860901165123	2.85828250755291e-10	0.5	0.461
FP236383.1	-0.364847080633606	0.0495611099771664	-0.53659646841691	3.27494391203545e-10	0.63	0.45
PCDH9	-0.592498462320533	6.10542253241929e-66	-0.653141559733367	2.22326927297938e-09	0.737	0.709
DLG2	-0.463626478033399	2.1279999098681e-11	-0.519336022553492	2.61055309348485e-09	0.713	0.63
CLU	-0.673385089804153	1.1721481902769e-13	-0.555374014028609	3.27064064711511e-09	0.451	0.455
PTPRD	-0.645516845534754	2.47695618336835e-42	-0.660286565110437	3.48865746579034e-09	0.646	0.616
FGF14	-0.572697202471187	0.00605874391823947	-0.723628003479826	5.40777586250151e-09	0.424	0.388
TIMM23B	-0.387165630550409	6.24896525449118e-08	-0.621342279940091	8.71105294814545e-09	0.307	0.215
AC092683.1	-0.331297288105819	0.00453377742527633	-0.629416733626125	1.81927937906101e-08	0.2	0.144
NRXN1	-0.57104605295839	1.48731031330521e-28	-0.625322687672542	1.9596613475883e-08	0.625	0.594
CKB	-0.537759751285305	4.54102747563596e-05	-0.387321454865693	3.17938019791364e-08	0.507	0.466
GRIA2	-0.521192587588943	0.00213077982368402	-0.530159868353819	1.22270674805552e-07	0.466	0.424
PRPF38B	-0.463561947268681	2.56075746459147e-05	-0.545868274007543	1.4713920222124e-07	0.474	0.328
NTM	-0.49757487160487	0.0142469200424796	-0.507437304140372	1.52502342922296e-07	0.361	0.349
HSP90AA1	-0.450916716555331	7.31041147849538e-06	-0.43924484058564	3.77919060611783e-07	0.719	0.64
GAPDH	-0.618564341830301	1.14261427513569e-09	-0.426953111478092	5.82472103323456e-07	0.498	0.481
PEBP1	-0.516487757637282	0.000654329271961244	-0.446567024767863	6.4838573567947e-07	0.447	0.422
SON	-0.278449139240625	0.000599775507054191	-0.359441991864539	8.90356998609424e-07	0.693	0.49
ANKRD36C	-0.278425997724277	6.6868213190408e-05	-0.446740041894929	1.2097018465964e-06	0.282	0.2
BPTF	-0.210687048905181	1.22546349429589e-09	-0.314093813687031	1.32095026837209e-06	0.678	0.467
MAGI2	-0.592522313214134	0.000479918354700078	-0.590347245938353	1.37312679297628e-06	0.429	0.393
MYO1F	-0.0874493995771721	7.93796284010912e-16	-0.251137531880626	1.81007671279063e-06	0.756	0.523
AC105402.3	-0.420998654381447	2.11400047378633e-09	-0.573890163625192	2.72049100788118e-06	0.267	0.184
STMN1	-0.496997295307438	0.000180500619179735	-0.443981728269358	4.04563802061369e-06	0.351	0.357
MPHOSPH8	-0.228382844816752	5.22829714477162e-18	-0.368337204607538	4.76554629649282e-06	0.451	0.29
NKTR	-0.25490584283925	1.04345142156598e-09	-0.360309411889017	5.78749272140369e-06	0.596	0.405
MALAT1	-0.283415561882565	1.91119498568622e-58	-0.175443064257581	6.9161733568028e-06	1	1
PCSK1N	-0.634353143016856	3.55394353277525e-11	-0.510090103366621	7.18715075455704e-06	0.333	0.365
UCHL1	-0.59225609899856	3.85941877784658e-05	-0.449062602079248	7.49703891268517e-06	0.406	0.398
AHI1	-0.258453135525697	0.000895471848320146	-0.353328277415217	7.52235398562974e-06	0.326	0.235
GOLGB1	-0.211650645087983	1.47338644894477e-22	-0.398571523465811	7.54076525354826e-06	0.42	0.261
ADGRB3	-0.43283372070792	7.11819737285317e-14	-0.464313133704751	7.78952946493539e-06	0.646	0.578
PNN	-0.228040993991861	4.74165467409857e-25	-0.458991074765527	8.79865324536185e-06	0.334	0.198
DPP7	-0.261276571326859	1.1485425033955e-07	-0.448375978402662	8.80307099438762e-06	0.19	0.126
