gene	cell_logFC	cell_FDR	pct_cluster2	pct_cluster0	pb_logFC	pb_FDR	pb_AveExpr	pb_t	pb_P	direction_concordant	cell_sig	pb_sig	both_sig	both_sig_same_direction
PTPRC	0.276231414043929	3.87365383096293e-69	0.806	0.535	0.248725195781815	3.01531545264659e-07	9.3914603425606	6.70706747134002	7.07495592051737e-09	TRUE	TRUE	TRUE	TRUE	TRUE
PICALM	0.308039566129143	4.85674662568881e-69	0.925	0.706	0.242889565731414	6.73450100874347e-07	10.3962327129514	6.4469368832886	1.97517882174317e-08	TRUE	TRUE	TRUE	TRUE	TRUE
BMP2K	0.245306547328998	2.13883227898536e-45	0.9	0.694	0.212087087883979	7.03044673478985e-07	10.1989795862204	6.43380792572551	2.0799077307718e-08	TRUE	TRUE	TRUE	TRUE	TRUE
PLXDC2	0.232960479465327	1.10940220427123e-81	0.995	0.975	0.166063026756804	1.93337471802983e-06	12.9458154975475	6.13261459497856	6.7710901709486e-08	TRUE	TRUE	TRUE	TRUE	TRUE
SRGAP2	0.323989663061134	7.81198823360201e-79	0.959	0.8	0.21740621200548	2.56677138828027e-06	11.0794174542701	6.05310575705843	9.23016490047226e-08	TRUE	TRUE	TRUE	TRUE	TRUE
MEF2A	0.236587828209947	1.43683602008805e-54	0.979	0.87	0.172673153296129	8.02437458125043e-06	11.433200459953	5.71648125488053	3.39262222341087e-07	TRUE	TRUE	TRUE	TRUE	TRUE
TCF12	0.243893959207626	7.47511287507107e-50	0.933	0.755	0.21871823889544	8.80915429258441e-06	10.4482016507171	5.68561112652394	3.81932218755254e-07	TRUE	TRUE	TRUE	TRUE	TRUE
SRGAP2B	0.327425829800532	7.77153846157964e-81	0.886	0.636	0.244527930471468	1.31057353792185e-05	10.1384398358105	5.56678902707605	6.01640491777435e-07	TRUE	TRUE	TRUE	TRUE	TRUE
ARHGAP24	0.353506295532927	5.01977897927239e-72	0.965	0.833	0.23766494485095	1.53834690996389e-05	11.4804762610512	5.51189792729543	7.41513812759948e-07	TRUE	TRUE	TRUE	TRUE	TRUE
RAP1A	0.282284687667038	5.68510182473476e-80	0.746	0.449	0.222201480750242	2.02497550852627e-05	9.19458532228572	5.42322971291334	1.03805171439373e-06	TRUE	TRUE	TRUE	TRUE	TRUE
SOCS6	0.317886586840222	3.76979043308886e-94	0.562	0.3	0.273360537640329	2.9725244612708e-05	8.61008885500738	5.3048649749937	1.622341838082e-06	TRUE	TRUE	TRUE	TRUE	TRUE
FGD4	0.304006842417608	1.78016312475028e-74	0.867	0.604	0.211581246053351	2.98759335231534e-05	9.90784865495771	5.30104526984434	1.64580506018902e-06	TRUE	TRUE	TRUE	TRUE	TRUE
BNC2	0.337997282114646	8.18412478108633e-81	0.756	0.482	0.271671196218087	3.51861886505929e-05	9.54892296248465	5.2537837950189	1.96525766755415e-06	TRUE	TRUE	TRUE	TRUE	TRUE
SLC9A9	0.233397756685267	7.04286195941121e-46	0.953	0.804	0.169768492004121	3.62322288984029e-05	11.0552082443491	5.24353902455075	2.04216337325862e-06	TRUE	TRUE	TRUE	TRUE	TRUE
TGFBR1	0.193411782773448	1.44883861394173e-43	0.646	0.424	0.250989832208122	3.67274482792791e-05	8.67239230686383	5.23870881758876	2.07944236623309e-06	TRUE	TRUE	TRUE	TRUE	TRUE
SPRED1	0.252341340649679	9.4442289859416e-57	0.768	0.507	0.217960839962763	4.05634238286585e-05	9.31574429143916	5.20856679463923	2.32766395344253e-06	TRUE	TRUE	TRUE	TRUE	TRUE
MAML2	0.25785383330989	5.68563175635949e-57	0.962	0.811	0.209549920124628	4.37928584425579e-05	11.0973110306461	5.18369188627641	2.55426661093421e-06	TRUE	TRUE	TRUE	TRUE	TRUE
IL6ST	0.357722961417882	1.98451278494364e-90	0.691	0.416	0.216189881722027	4.85625252566404e-05	9.10080043324535	5.15443831432304	2.8486051540493e-06	TRUE	TRUE	TRUE	TRUE	TRUE
GNB4	0.230521323121982	4.00207728012868e-73	0.651	0.377	0.254031247198613	5.94341833751262e-05	8.50759769403214	5.09430874226325	3.56210994469642e-06	TRUE	TRUE	TRUE	TRUE	TRUE
FAM49B	0.270599654651258	4.95941664930554e-63	0.933	0.739	0.190642690393836	7.12078883222412e-05	10.4131101544681	5.03757104868199	4.39487604539209e-06	TRUE	TRUE	TRUE	TRUE	TRUE
PIK3AP1	0.226674556049444	1.26798683359592e-72	0.648	0.377	0.226998472929726	9.18509834164483e-05	8.57511615285584	4.96295602971307	5.78607317109481e-06	TRUE	TRUE	TRUE	TRUE	TRUE
SRGAP2C	0.306877026477602	3.04016891978482e-86	0.795	0.495	0.229090309937089	9.75669792896744e-05	9.38344343794164	4.94503930183556	6.17970732524561e-06	TRUE	TRUE	TRUE	TRUE	TRUE
SAMSN1	0.171577062855234	8.71392135070759e-45	0.748	0.498	0.209985759296534	9.75669792896744e-05	9.2192452527609	4.9412325805808	6.26666135165127e-06	TRUE	TRUE	TRUE	TRUE	TRUE
