Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
11	CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	5.44015270125316e-11	5.469467575069392	129.2688363756559	CX3CR1;DOCK4;BNC2;FAM13A;ARHGAP15;PLD1;SPRED1;SCIN;PDK4;DIP2B;RREB1;UVRAG;MBNL1;WSB1;WNT5A;TCF12;PLXDC2;ARHGAP24;MED13L;ETV6;MKLN1;ZEB2;ELMO1;PELI1;MAML3;CPVL;RAF1;RIN2	3.516316882355452e-09	0	0	ChEA_2022	primary_candidate	CEBPD	8.453911994219087
12	STAT3 23295773 ChIP-Seq U87 Human	8.76683656497161e-11	4.257865445046	98.60134869740708	DOCK4;B4GALT1;MAML2;RNF13;DOCK8;FAM13A;ARHGAP15;PLD1;SAMSN1;FGD4;SPRED1;CALCR;SCIN;CHST11;IL13RA1;MEF2A;UVRAG;ENTPD1;PHC2;WSB1;PRKCH;ANKRD44;PLA2G4A;FOXN3;PLXDC2;ARHGAP24;ETV6;SH3RF3;PTPRC;CDK6;GNAQ;MGAT4A;ELMO1;GNB4;MAML3;RAF1;ST6GALNAC3;WDFY4;RIN2	5.194350664745678e-09	0	0	ChEA_2022	primary_candidate	STAT3	8.284468734987154
13	WT1 25993318 ChIP-Seq PODOCYTE Human	1.0091667034057183e-10	4.126846795735527	94.98650188264854	B4GALT1;BNC2;DOCK8;FAM13A;PTPRJ;NPL;ARHGAP15;PLD1;SAMSN1;CHST11;DIP2B;RREB1;PAG1;LYN;UVRAG;PHC2;MBNL1;WSB1;ANKRD44;TCF12;RANBP9;FOXN3;GAB2;PLXDC2;FBXO11;MED13L;ETV6;SH3RF3;MKLN1;ZEB2;GNAQ;SLC9A9;ELMO1;PELI1;TAB2;HNRNPC;MAML3;CPVL;ST6GALNAC3;WDFY4;RIN2	5.519365585549737e-09	0	0	ChEA_2022	primary_candidate	WT1	8.258110838671007
14	NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	1.5664093443242802e-10	4.012990546147045	90.60154829112525	DOCK4;RBM47;CEBPB;B4GALT1;BNC2;FAM13A;PTPRJ;PLD1;FGD4;RAP1A;CHST11;ST8SIA4;DIP2B;ANKS1A;SRGAP2;SOCS6;RREB1;PAG1;MEF2A;UVRAG;MBNL1;PRKCH;IFNGR1;ANKRD44;TCF12;PLA2G4A;FOXN3;PLXDC2;FBXO11;ARHGAP24;TGFBR1;ETV6;MKLN1;PTPRC;CDK6;MGAT4A;TAB2;RAF1;PIK3AP1;WDFY4;RIN2;RHOQ	7.689936584661296e-09	0	0	ChEA_2022	primary_candidate	NR3C1	8.114077241608872
15	MYB 21317192 ChIP-Seq ERMYB Mouse	1.6223494904348726e-10	6.825160348864832	153.85259756309955	CEBPB;WSB1;PRKCH;B4GALT1;MAML2;IFNGR1;RANBP9;ARHGAP15;PLD1;SAMSN1;ARHGAP24;APBB1IP;FGD4;ZEB2;CDK6;MGAT4A;ST8SIA4;BMP2K;RAF1;RREB1;IL13RA1	7.689936584661296e-09	0	0	ChEA_2022	primary_candidate	MYB	8.114077241608872
16	PPARG 20176806 ChIP-Seq MACROPHAGES Mouse	4.805498933232374e-10	5.61830922916356	120.54694878703091	PRKCH;DOCK8;WNT5A;FOXN3;PLXDC2;PLD1;SAMSN1;ARHGAP24;TGFBR1;ETV6;APBB1IP;FGD4;ZEB2;PTPRC;CDK6;CHST11;ELMO1;ST8SIA4;SRGAP2;ST6GALNAC3;SOCS6;PIK3AP1;RREB1;PICALM	2.1354435884551362e-08	0	0	ChEA_2022	primary_candidate	PPARG	7.67051189674769
17	STAT3 20064451 ChIP-Seq CD4+T Mouse	8.995552834312629e-10	6.16954633650559	128.5062247165669	MEF2A;CX3CR1;PRKCH;IFNGR1;ANKRD44;FOXN3;NPL;FBXO11;TGFBR1;APBB1IP;PTPRC;RAP1A;CHST11;GNAQ;MGAT4A;SLC9A9;HCLS1;MAML3;IL6ST;RREB1;PAG1	3.7622576854095755e-08	0	0	ChEA_2022	primary_candidate	STAT3	7.424551461970427
18	SMAD4 21799915 ChIP-Seq A2780 Human	2.211220604617228e-09	4.100476996460994	81.72136317928252	MAML2;BNC2;DOCK8;PTPRJ;ARHGAP15;FGD4;CALCR;SCIN;ST8SIA4;DIP2B;SRGAP2;RREB1;MBNL1;PRKCH;ANKRD44;WNT5A;PLA2G4A;FOXN3;GAB2;PLXDC2;ETV6;SH3RF3;MKLN1;PTPRC;CDK6;GNAQ;B3GNT5;SLC9A9;ELMO1;BMP2K;ST6GALNAC3;RIN2;PICALM	8.73432138823805e-08	0	0	ChEA_2022	primary_candidate	SMAD4	7.058770831813538
19	FOXA2 19822575 ChIP-Seq HepG2 Human	2.4543737808464196e-09	3.884758641239571	77.01687138518415	DOCK4;RBM47;CEBPB;B4GALT1;MAML2;USP53;BNC2;ARHGAP15;PLD1;FGD4;PDK4;DIP2B;ANKS1A;RREB1;UVRAG;ENTPD1;PHC2;PRKCH;ANKRD44;TCF12;TBC1D9;RANBP9;FOXN3;GAB2;PLXDC2;MED13L;ETV6;ZEB2;PTPRC;CDK6;GNAQ;MGAT4A;ELMO1;MAML3;PIK3AP1;RIN2	8.814821511254262e-08	0	0	ChEA_2022	primary_candidate	FOXA2	7.054786477177723
20	FOXM1 26456572 ChIP-Seq MCF-7 Human	2.47955598066224e-09	4.54977664326739	90.1546719592133	DOCK4;RBM47;CEBPB;MAML2;FAM13A;PTPRJ;PLD1;CALCR;CHST11;ST8SIA4;TBC1D12;PAG1;LYN;PRKCH;WNT5A;TCF12;PLA2G4A;TBC1D9;FBXO11;MED13L;CDK6;GNAQ;MGAT4A;B3GNT5;ELMO1;MAML3;IL6ST;RIN2	8.814821511254262e-08	0	0	ChEA_2022	primary_candidate	FOXM1	7.054786477177723
