TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
TP63	2	5.248740846247369e-05	36.4953054702526	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TP63 23658742 ChIP-Seq EP156T Human	8.769689820469134
SALL4	2	0.00012375363507633898	53.603431619723544	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SALL4 18804426 ChIP-ChIP XEN Mouse	9.063622512438311
CTCF	2	0.00012569721020566448	31.467991367866546	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CTCF 31629814 ChIP-Seq Hepatocytes Mouse Tyrosinemia	7.892505335994592
STAT5A	2	0.00013250678931893357	35.26636435144829	ChEA_2022;TRRUST_Transcription_Factors_2019	STAT5A 24692510 ChIP-Seq Epithelium Mouse Mammary	4.930291616735778
VDR	2	0.00016574580243579424	44.06427097259848	ChEA_2022;TRRUST_Transcription_Factors_2019	VDR 24763502 ChIP-Seq THP-1 Human	11.67301191312458
CTNNB1	2	0.000168697246923016	46.47359660476335	ChEA_2022;TRRUST_Transcription_Factors_2019	CTNNB1 20460455 ChIP-Seq HCT116 Human	5.093454292516611
CEBPB	2	0.0002038367112764491	35.30707245706547	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	18.210819719964796
NFYA	2	0.00029953667367684845	32.689990395308904	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	NFYA 21822215 ChIP-Seq K562 Human	3.5237126914451276
FOXO1	2	0.0003409189198082021	31.667135662512326	ChEA_2022;TRRUST_Transcription_Factors_2019	FOXO1 25302145 ChIP-Seq T-LYMPHOCYTE Mouse	6.806699082118971
RUNX1	2	0.000418907708281169	26.146194522579634	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	RUNX1 30185409 ChIP-Seq HPC Mouse BoneMarrow Leukemia	12.578041981217384
FOXA1	2	0.00043081897630586354	24.72641739175828	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FOXA1 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	18.3689774804528
TCF4	2	0.00043081897630586354	25.026588616178888	ChEA_2022;TRRUST_Transcription_Factors_2019	TCF4 23295773 ChIP-Seq U87 Human	5.6149538073644205
SOX2	2	0.000717332823730857	27.60086883998027	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SOX2 21211035 ChIP-Seq LN229 Gbm	17.458590300866273
