TF	reference_n_libs	reference_best_adjP	reference_aggregate_score	pooledDown_n_libs	pooledDown_best_adjP	pooledDown_aggregate_score	joint_score
BACH1	1	0.052373657345139574	1.2808870974876285	1	0.5669517751804977	0.24645388054926667	1.5273409780368952
ZFX	1	0.24532353336078025	0.6102624202572238	1	0.3314039628250948	0.9165197951690456	1.5267822154262694
SMRT	1	0.5282566786059528	0.2771566349743956	1	0.10264287237822603	1.2419016848967634	1.5190583198711591
IRF1	1	0.13208595470156756	0.8791433604316792	2	0.5071990266766798	0.6073636793674257	1.486507039799105
IRF8	1	0.9999962435678172	3.26280166547939e-06	1	0.10576487115755528	1.4296685906550644	1.4296718534567299
HAND2	1	0.03968045508401888	1.4014233556875955	1	0.9649015391242077	0.015517000849662559	1.416940356537258
KDM5B	1	0.6474688027541584	0.18878115252567232	1	0.062006481012739756	1.2075629150022593	1.3963440675279317
ETS2	1	0.1632484522914483	0.787150927446272	2	0.32207782630320264	0.5789242760969214	1.3660752035431933
IGF1R	1	0.24735143519073408	0.6066855654145845	1	0.1818366563246901	0.7403185631667608	1.3470041285813452
HOXB7	1	0.9999962435678172	1.631400832739695e-06	1	0.04881280275029655	1.3114662551576168	1.3114678865584495
ER	1	0.101232691786527	0.9946792150679833	1	0.5039681404130307	0.2975969176817756	1.292276132749759
ELF5	1	0.9999962435678172	1.631400832739695e-06	1	0.051695680452021	1.28654574383496	1.2865473752357925
PHF8	1	0.4718512194882269	0.3261965495910894	1	0.18275365014488376	0.9443100573861305	1.27050660697722
GATA4	1	0.9999962435678172	3.26280166547939e-06	1	0.18497899559291084	1.2666073395527297	1.2666106023543953
SCL	1	0.24122241639452466	0.6175839677996805	1	0.4184965451789251	0.6377088720706114	1.2552928398702918
TAF15	1	0.06634782641587976	1.178173300245691	1	0.8673064448965093	0.061827426384278024	1.2400007266299689
GATA6	1	0.9999962435678172	4.894202498219085e-06	1	0.34898442438509525	1.227517691683613	1.2275225858861112
