Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library	Query_label	TF	neglog10_adjP
456	TBX2 33478486 ChIP-Seq IMR90 Human Lung	0.11139318921152415	1.36110351070981	2.987199027350493	CAST;ITGB1;HDAC4;FAM13A;PDE3B;CLTC;ARID5A;ZC3HAV1;AGAP3;AMOT;SYT17;HSPD1;KLF6;HSPH1;SCIN;P4HA1;TAOK3;CHST15;PAPOLA;NUMB;PPARG;MGAT1;GPR155	0.1785710993719828	0	0	ChEA_2022	pooled_ASD_up	TBX2	0.7481888276361538
457	UBF1/2 26484160 Chip-Seq HMEC-DERIVED Human	0.11250749886256371	1.4258963391331974	3.115206213116654	ITGB1;STXBP3;PDE3B;ARID5B;PDS5B;TYMP;MYO1E;HSPH1;CDK6;SEC14L1;SOAT1;P4HA1;TAOK3;CHSY1;PADI2;MGAT1;B2M	0.17996276076265663	0	0	ChEA_2022	pooled_ASD_up	UBF1/2	0.7448173530548653
458	ATF3 23680149 ChIP-Seq GBM1-GSC Human	0.11340795008366034	1.4239957692396128	3.0997024184633015	CAST;STARD13;TNFAIP8;MBNL2;ACSL1;FAM13A;STAT3;LY96;NEDD9;RUNX1;PGS1;KLF6;RAB31;SEC14L1;RGS1;SPP1;MGAT1	0.18086251749858345	0	0	ChEA_2022	pooled_ASD_up	ATF3	0.7426514283320814
459	SALL1 21062744 ChIP-ChIP HESCs Human	0.1137602490111213	3.563063063063063	7.744895225650905	KLF6;ARID5B	0.18086251749858345	0	0	ChEA_2022	pooled_ASD_up	SALL1	0.7426514283320814
460	MYC 19030024 ChIP-ChIP MESCs Mouse	0.11383149120908205	1.3283801932157866	2.8866180764095883	NUFIP2;UBE2D3;CLTC;HIF1A;HSPD1;PPP1CB;GNA13;HERC4;GPBP1;PGK1;MGAT1;PDE8A;MPZL1;RANBP2;PTGES3;STAT3;DNAJA1;RAB31;SOAT1;P4HA1;VAPA;WNK1;GLB1;AAK1;CTNNB1;INTS6;BCAT1	0.18086251749858345	0	0	ChEA_2022	pooled_ASD_up	MYC	0.7426514283320814
461	CREB1 15753290 ChIP-ChIP HEK293T Human	0.11405967245806699	1.8640552995391706	4.046926547606787	RB1;VMP1;SNX1;STXBP3;UBQLN1;TOP1	0.18086251749858345	0	0	ChEA_2022	pooled_ASD_up	CREB1	0.7426514283320814
462	MYC 20876797 ChIP-ChIP MEDULLOBLASTOMA Human	0.11575123299331394	1.5202007934580195	3.278027112800727	RB1;PLSCR1;ACSL1;WNK1;ELOVL5;SLC11A1;REL;NCK2;PPARG;PDE8A;DUSP16;ZCCHC2	0.18314751367556817	0	0	ChEA_2022	pooled_ASD_up	MYC	0.7371989727368665
463	P53 22127205 ChIP-Seq FIBROBLAST Human	0.11631098358388921	1.757142485767021	3.78047058952769	PPP1CB;DNAJA1;SCIN;STX6;ASAP1;TAB2;RALGPS2	0.18363569978363503	0	0	ChEA_2022	pooled_ASD_up	P53	0.736042885706194
464	DNAJC2 21179169 ChIP-ChIP NT2 Human	0.11705589984455039	1.6277874044825724	3.4917727545986725	RB1;FCGBP;TNFAIP8;RGS1;SLC11A1;STAT3;TXNIP;MITF;PDE8A	0.1844134973844102	0	0	ChEA_2022	pooled_ASD_up	DNAJC2	0.734207295727901
465	NFE2L2 20460467 ChIP-Seq MEFs Mouse	0.11915853279342607	1.5772425249169435	3.355268755293016	STARD13;SNX1;KLF6;FMNL2;SOAT1;P4HA1;CHSY1;CLTC;ZC3HAV1;RALGPS2	0.18677473538285622	0	0	ChEA_2022	pooled_ASD_up	NFE2L2	0.7286818702144806
