path	n_genes	preview
root / Cluster2_Up	50	SRGAP2B, ARHGAP24, SRGAP2, APBB1IP, HS3ST4, MAML3, PLXDC2, SRGAP2C
root / Cluster4_Down	50	GPC5, ADGRV1, SLC1A2, RNF219-AS1, NKAIN3, HPSE2, SLC4A4, RYR3
