gene	logFC	logCPM	F	PValue	FDR	analysis	neglog10p	direction
SPP1	2.84379246081705	10.6752650249933	26.8412060342525	3.98673562772325e-06	0.00825652948501486	cluster2	5.39938256273935	ASD_up
ELL2	0.999723777614914	9.02231737717033	21.2389909283602	2.4956839583803e-05	0.025842807389028	cluster2	4.60281041250796	ASD_up
ZC3HAV1	1.35080807187029	8.35542566075578	17.3370023634127	0.000118597759128569	0.0818719863850889	cluster2	3.92592351676679	ASD_up
HSPA1A	1.8803996585136	8.50742666695624	14.5032699723487	0.000383064577134875	0.142870881035687	cluster2	3.41672800637278	NS
B2M	1.50625812068627	8.19847737408372	14.2819134577459	0.000413918535110633	0.142870881035687	cluster2	3.38308512562621	NS
GNA13	0.911290128859648	7.94679537662119	15.094885618127	0.000277396054467092	0.142870881035687	cluster2	3.55689972039091	NS
MYO1E	1.43139444791667	8.11689875222975	12.8775592997262	0.000746388407224789	0.151127163180073	cluster2	3.1270351145957	NS
ABHD3	1.30876831188991	8.48369023751807	12.8397570090782	0.00075465237806382	0.151127163180073	cluster2	3.12225305506578	NS
FAM129A	1.29319997914111	7.897424917728	13.5151237731123	0.000562513401400416	0.151127163180073	cluster2	3.24986712639896	NS
FCGBP	0.848984024983443	7.7319590606758	12.2447624046904	0.000933586757035643	0.151127163180073	cluster2	3.02984531740306	NS
PMEPA1	-0.75307840070175	7.72812772490529	13.0384266990591	0.00066153338367086	0.151127163180073	cluster2	3.17944823465379	NS
ASAH1	0.687244955249996	7.70869022959967	12.2081824928463	0.000948649503303212	0.151127163180073	cluster2	3.02289421633767	NS
RALGAPA2	0.526768885892787	8.9347372319245	12.2884040072094	0.000915942548733472	0.151127163180073	cluster2	3.03813176601612	NS
STARD13	1.14864926753253	8.13706703380615	11.7755192896878	0.00118852900957559	0.157527146030663	cluster2	2.92499021356151	NS
MALAT1	0.805915058581385	15.5565472716312	12.0441561653902	0.00106742686940507	0.157527146030663	cluster2	2.97166186927884	NS
SKAP2	0.44767565839477	9.6151874228746	11.6422459942723	0.00121701319965746	0.157527146030663	cluster2	2.9147047114106	NS
HDAC4	0.708318915961425	8.24939142704956	11.3146221112201	0.00140764990342172	0.16195794166591	cluster2	2.85150534513572	NS
SHOC2	0.561782283536738	7.75494150790195	11.3834183819794	0.00136517551243101	0.16195794166591	cluster2	2.86481151039594	NS
P4HA1	1.26484945969972	8.8657644612442	10.9901097543442	0.00169517153962039	0.162272715659921	cluster2	2.77078634764317	NS
NEAT1	1.01622010626223	11.9645547591836	10.6132150422255	0.00200766568135606	0.162272715659921	cluster2	2.69730860468958	NS
BAZ1A	0.682526033217586	7.53412947736767	10.8533661882528	0.00173061700997625	0.162272715659921	cluster2	2.76179903198438	NS
STK38L	0.552732102985307	7.70472839271007	10.5570673272539	0.00197828157096305	0.162272715659921	cluster2	2.70371189473447	NS
COA1	-0.458665731060609	7.93905284808494	10.6234820532994	0.00191971167204622	0.162272715659921	cluster2	2.71676399454769	NS
REV1	-0.441323065935338	7.9073524923524	11.0074832893267	0.00161484751041211	0.162272715659921	cluster2	2.79186848170024	NS
NUMB	0.410178294379004	9.34079621589085	10.7562396846191	0.00180801270613767	0.162272715659921	cluster2	2.74279852176658	NS
DOCK11	0.401824147952246	9.09667643955094	10.4922780432092	0.00203722385666728	0.162272715659921	cluster2	2.69096124671229	NS
FNDC3B	0.734961342053414	8.79210220667767	10.173718136856	0.00236885295263793	0.175210516604041	cluster2	2.62546189741991	NS
FAM13A	0.571533573909166	9.01611746853658	10.211722635019	0.0023145143399356	0.175210516604041	cluster2	2.63554012413345	NS
SRGN	1.37378372493424	8.56311337156062	9.8369845793482	0.0028542770335202	0.190274529407608	cluster2	2.54450387695012	NS
HIF1A	1.0729038848952	8.78474222078546	9.75430322173527	0.00294002170016584	0.190274529407608	cluster2	2.53164946406828	NS
CTNNB1	0.472869979481781	8.12293605183073	9.80160659056382	0.00279314501251492	0.190274529407608	cluster2	2.55390651632184	NS
GLG1	0.362886270675428	8.45545159071336	9.76310518870181	0.00284312350483342	0.190274529407608	cluster2	2.54620427421648	NS
NCK2	0.701103916390373	9.55948392896646	9.59465541977878	0.00310730365141251	0.195006844305312	cluster2	2.50761630461784	NS
CHST15	0.777335898027417	8.19708284234122	9.45745640060494	0.00330908931629845	0.20156246982512	cluster2	2.48029151055182	NS
OSBPL6	-0.556944974416812	8.40020868950864	9.36926510062234	0.00341171963051918	0.201876324423006	cluster2	2.46702666564092	NS
CIRBP	-0.608645390437719	8.06793024687007	9.16959480741057	0.00374447974089838	0.206826283715167	cluster2	2.42660851477433	NS
RB1	0.53703803917513	9.44663556733328	9.14093141204184	0.00379497768284711	0.206826283715167	cluster2	2.42079077371971	NS
LNPEP	0.452512791710175	7.7762955376046	9.21850714219793	0.00365993131468905	0.206826283715167	cluster2	2.43652706486008	NS
PTGES3	1.08390845131958	8.33903905112389	8.47210958089194	0.00533364625596224	0.21210889778318	cluster2	2.27297579145418	NS
CERS6	0.913561280209951	8.31967851045352	8.7494688005364	0.00465726165397648	0.21210889778318	cluster2	2.33186936187702	NS
IGF1	-0.7811943072577	7.90086746873873	8.55142217427624	0.00505349208275817	0.21210889778318	cluster2	2.29640841036631	NS
TNFRSF1B	0.740513786071651	8.44290573667842	8.44388637620865	0.00531866839961811	0.21210889778318	cluster2	2.27419708557814	NS
HERC4	0.590708636258934	9.35996188337477	8.43220271721355	0.00531413039734894	0.21210889778318	cluster2	2.27456779314097	NS
OTULINL	-0.580877251069973	8.36393919877502	8.63669610266531	0.00481069155964339	0.21210889778318	cluster2	2.31779248725438	NS
NUFIP2	0.577756480462345	8.27374365075927	8.58812524593896	0.00492261241357589	0.21210889778318	cluster2	2.30780435745734	NS
