mechanism_bucket	n_hits	top_examples
Inflammatory / stress perturbation	2	formaldehyde; lipopolysaccharide
MAPK/BRAF-related	2	plx4032 db05238; vemurafenib db08881
Other / unclassified	2	vx; estradiol db00783
Cytotoxic / DNA-stress-like perturbation	1	cisplatin db00515
Immune / signaling-targeted	1	etanercept db00005
Metabolic / nutrient-related	1	metformin db00331
