metric	mean_case	mean_control	effect_case_minus_control	wilcox_p	weighted_lm_p	n_case_donor	n_control_donor	p_adj_bh
microglia_homeostatic	0.165016956082364	0.213129991206168	-0.0767982111496885	0.168247297375246	0.00274497091610876	31	27	0.350869624437273
microglia_activation	0.128003271579394	0.113776567284711	-0.001635886832241	0.525309380502573	0.912610929179353	31	27	0.612860943919669
neuronal_synaptic_background	-0.191500136336372	-0.249919968905231	0.0697145076410288	0.120243066014931	0.0882966654504751	31	27	0.350869624437273
focused_audit_panel	0.321737218364229	0.421731438803589	-0.150799465554675	0.20049692824987	0.00219884555172058	31	27	0.350869624437273
legacy_spp1_axis_audit	0.222801300214919	0.228839412236643	-0.0294622640420853	0.822168402720373	0.28305119122838	31	27	0.822168402720373
ms_identity_minus_neuronal	0.356517092418736	0.463049960111399	-0.146512718790715	0.145383280833075	0.00904751066603778	31	27	0.350869624437273
ms_activation_minus_neuronal	0.319503407915766	0.363696536189943	-0.0713503944732686	0.269488875049972	0.143478294483781	31	27	0.37728442506996
