cluster	metric	mean_case	mean_control	effect_case_minus_control	wilcox_p	weighted_lm_p	n_case_donor	n_control_donor	p_adj_bh
0	microglia_homeostatic	0.50206561092231	0.576717903460307	-0.151689350532355	0.151534042508084	0.00516909773339178	31	27	0.252455549503132
0	microglia_activation	0.374864860507165	0.292103717846677	0.222848927415666	0.0427142259984203	7.26360683676418e-05	31	27	0.210693163078654
0	neuronal_synaptic_background	1.05690675141589	1.21831911508372	0.0846525187748222	0.242350882418046	0.611808743288811	31	27	0.339291235385264
0	focused_audit_panel	1.16980151910423	1.10604167954656	0.0542989463766932	0.708313626885171	0.51511909739953	31	27	0.708313626885171
0	legacy_spp1_axis_audit	0.876584778946731	0.732314144203896	0.423296597621668	0.0922689501032984	0.000130136375827179	31	27	0.252455549503132
0	ms_identity_minus_neuronal	-0.554841140493581	-0.641601211623409	-0.236341869307181	0.532932025608758	0.205223960126414	31	27	0.621754029876885
0	ms_activation_minus_neuronal	-0.682041890908726	-0.926215397237039	0.138196408640841	0.122769442977236	0.343868797486764	31	27	0.252455549503132
2	microglia_homeostatic	0.66212988038623	0.755194826372836	-0.171601331215595	0.11564977465288	0.0146329353796964	28	22	0.252455549503132
2	microglia_activation	0.509625979427685	0.40493708275869	0.194443299965495	0.0252343034531115	0.00169675298778586	28	22	0.210693163078654
2	neuronal_synaptic_background	0.924627303638862	1.12378144148035	-0.00139358009806807	0.156498824873983	0.993638811859082	28	22	0.252455549503132
2	focused_audit_panel	1.50439356843555	1.52186581728424	-0.0781336666197389	0.632059642472912	0.363299946137489	28	22	0.680679614970829
2	legacy_spp1_axis_audit	1.11220280448067	0.975255717467717	0.339785454362708	0.162292853252014	0.00261172374676082	28	22	0.252455549503132
2	ms_identity_minus_neuronal	-0.262497423252632	-0.368586615107519	-0.170207751117527	0.353229319265046	0.419943868222908	28	22	0.449564588155513
2	ms_activation_minus_neuronal	-0.415001324211177	-0.718844358721665	0.195836880063563	0.0451485349454259	0.231473583108555	28	22	0.210693163078654
