program	model_type	covariates_used	n_samples	n_subjects	beta_ASD_vs_Control	se	t_value	p_value	omitted_region	comparison	direction_expected	direction_observed	direction_match	p_value_BH_within_all	p_value_BH_within_LOO	baseline_beta	baseline_p	baseline_model	baseline_covars	beta_diff_from_baseline	abs_beta_diff_from_baseline	sign_same_as_baseline
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	675	103	0.188748795204502	0.0634409078669334	2.97519063882882	0.00373066690014188	BA20-37	Drop BA20-37	ASD_higher	ASD_higher	TRUE	0.00895360056034052	0.00879371483604872	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.00339609355085405	0.00339609355085405	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	0.180940429734138	0.0642082985553637	2.81802249561436	0.00590271516931611	BA24	Drop BA24	ASD_higher	ASD_higher	TRUE	0.010624887304769	0.0108216444770795	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.00441227191950994	0.00441227191950994	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	103	0.185452024399693	0.064581417475349	2.8716004022439	0.00505763398127071	BA3-1-2-5	Drop BA3-1-2-5	ASD_higher	ASD_higher	TRUE	0.0101032000646919	0.0103508275172579	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	9.93227460451551e-05	9.93227460451551e-05	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	681	103	0.19594081265744	0.065296675511426	3.00077777502092	0.0034566551000095	BA38	Drop BA38	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.0105881110037921	0.0105881110037921	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	662	103	0.186710878235694	0.0654103755900776	2.85445354122102	0.0053151627664503	BA39-40	Drop BA39-40	ASD_higher	ASD_higher	TRUE	0.0101032000646919	0.0103508275172579	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.00135817658204607	0.00135817658204607	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	102	0.17293103647805	0.0658225265894748	2.62723182226952	0.0100849527056807	BA4-6	Drop BA4-6	ASD_higher	ASD_higher	TRUE	0.0165026498820229	0.0166401719643731	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0124216651755982	0.0124216651755982	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	616	103	0.19413370753941	0.0642043993274281	3.02368232664823	0.00322728247867071	BA41-42-22	Drop BA41-42-22	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.00878100588576197	0.00878100588576197	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	0.182458356073655	0.0639454608715716	2.85334335833633	0.0053322444785874	BA44-45	Drop BA44-45	ASD_higher	ASD_higher	TRUE	0.0101032000646919	0.0103508275172579	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0028943455799933	0.0028943455799933	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	660	101	0.17212392057231	0.0681458121221066	2.525818024795	0.0132722045675324	BA7	Drop BA7	ASD_higher	ASD_higher	TRUE	0.0191119745772466	0.0190427282925465	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0132287810813377	0.0132287810813377	TRUE
candidate_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	596	98	0.210900124238882	0.0697014108342819	3.02576550050481	0.00325141344801042	BA9	Drop BA9	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103	0.185352701653648	0.00512861800014046	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.0255474225852339	0.0255474225852339	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	668	102	-0.240009952443043	0.0998051063441575	-2.40478630036642	0.0181846446998216	BA17	Drop BA17	ASD_lower	ASD_lower	TRUE	0.0242461929330955	0.02398100098012	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.00909512603161319	0.00909512603161319	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	675	103	-0.246414592370811	0.100094856358794	-2.46181073968004	0.0156666618235584	BA20-37	Drop BA20-37	ASD_lower	ASD_lower	TRUE	0.0216923009864655	0.0215416600073928	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0154997659593805	0.0154997659593805	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	-0.224726349273642	0.0988881325622461	-2.27253102521868	0.02535794957256	BA24	Drop BA24	ASD_lower	ASD_lower	TRUE	0.02766321771552	0.027893744529816	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.00618847713778839	0.00618847713778839	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	103	-0.214803385720116	0.0971547323792259	-2.21094104692369	0.0294915461653161	BA3-1-2-5	Drop BA3-1-2-5	ASD_lower	ASD_lower	TRUE	0.0303341617700394	0.0304131569829822	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.0161114406913139	0.0161114406913139	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	681	103	-0.235734497242169	0.0990811297520671	-2.37920679580514	0.0193930540526252	BA38	Drop BA38	ASD_lower	ASD_lower	TRUE	0.0243568787384291	0.02398100098012	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0048196708307385	0.0048196708307385	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	662	103	-0.238658893948795	0.101288446463655	-2.35623017512103	0.0205607293499359	BA39-40	Drop BA39-40	ASD_lower	ASD_lower	TRUE	0.0246728752199231	0.0242322881624245	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.00774406753736481	0.00774406753736481	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	102	-0.255267624381937	0.0994377802641801	-2.56710903746803	0.0118683909743952	BA4-6	Drop BA4-6	ASD_lower	ASD_lower	TRUE	0.0185604319894241	0.0185604319894241	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0243527979705067	0.0243527979705067	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	616	103	-0.232634409629582	0.101173040855474	-2.29937152884334	0.0237220440470858	BA41-42-22	Drop BA41-42-22	ASD_lower	ASD_lower	TRUE	0.0266872995529716	0.0269940501225459	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.00171958321815166	0.00171958321815166	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	-0.238446922251174	0.10041433081263	-2.37463039709053	0.0196208189837346	BA44-45	Drop BA44-45	ASD_lower	ASD_lower	TRUE	0.0243568787384291	0.02398100098012	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.00753209583974385	0.00753209583974385	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	660	101	-0.180426221843794	0.0964690739639354	-1.87030116938041	0.0646564971778207	BA7	Drop BA7	ASD_lower	ASD_lower	TRUE	0.0646564971778207	0.0646564971778207	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	0.0504886045676364	0.0504886045676364	TRUE
reference_program_score	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	596	98	-0.237396021286718	0.106227599888575	-2.2347866424143	0.027963761912295	BA9	Drop BA9	ASD_lower	ASD_lower	TRUE	0.0296086890836064	0.0297678755840559	-0.23091482641143	0.0225609941681962	lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	-0.0064811948752877	0.0064811948752877	TRUE
