model_type	covariates_used	n_samples	n_subjects	beta_ASD_vs_Control	se	t_value	p_value	program	omitted_region	comparison	direction_expected	direction_observed	direction_match	p_value_BH_within_all	p_value_BH_within_LOO
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	102	0.17293103647805	0.0658225265894748	2.62723182226952	0.0100849527056807	candidate_program_score	BA4-6	Drop BA4-6	ASD_higher	ASD_higher	TRUE	0.0165026498820229	0.0166401719643731
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	102	-0.255267624381937	0.0994377802641801	-2.56710903746803	0.0118683909743952	reference_program_score	BA4-6	Drop BA4-6	ASD_lower	ASD_lower	TRUE	0.0185604319894241	0.0185604319894241
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	669	102	0.428602923438065	0.138388433578489	3.09710076453013	0.00259099415707432	candidate_minus_reference	BA4-6	Drop BA4-6	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	616	103	0.19413370753941	0.0642043993274281	3.02368232664823	0.00322728247867071	candidate_program_score	BA41-42-22	Drop BA41-42-22	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	616	103	-0.232634409629582	0.101173040855474	-2.29937152884334	0.0237220440470858	reference_program_score	BA41-42-22	Drop BA41-42-22	ASD_lower	ASD_lower	TRUE	0.0266872995529716	0.0269940501225459
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	616	103	0.42698748506953	0.13749359712557	3.10550813998685	0.00251806903670865	candidate_minus_reference	BA41-42-22	Drop BA41-42-22	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	0.182458356073655	0.0639454608715716	2.85334335833633	0.0053322444785874	candidate_program_score	BA44-45	Drop BA44-45	ASD_higher	ASD_higher	TRUE	0.0101032000646919	0.0103508275172579
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	-0.238446922251174	0.10041433081263	-2.37463039709053	0.0196208189837346	reference_program_score	BA44-45	Drop BA44-45	ASD_lower	ASD_lower	TRUE	0.0243568787384291	0.02398100098012
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	677	103	0.419816501766348	0.135851400464209	3.09026259819053	0.00263811203835248	candidate_minus_reference	BA44-45	Drop BA44-45	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	660	101	0.17212392057231	0.0681458121221066	2.525818024795	0.0132722045675324	candidate_program_score	BA7	Drop BA7	ASD_higher	ASD_higher	TRUE	0.0191119745772466	0.0190427282925465
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	660	101	-0.180426221843794	0.0964690739639354	-1.87030116938041	0.0646564971778207	reference_program_score	BA7	Drop BA7	ASD_lower	ASD_lower	TRUE	0.0646564971778207	0.0646564971778207
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	660	101	0.346853509345897	0.135907738895451	2.55212478821915	0.0123736213262827	candidate_minus_reference	BA7	Drop BA7	ASD_higher	ASD_higher	TRUE	0.0185604319894241	0.0185604319894241
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	596	98	0.210900124238882	0.0697014108342819	3.02576550050481	0.00325141344801042	candidate_program_score	BA9	Drop BA9	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	596	98	-0.237396021286718	0.106227599888575	-2.2347866424143	0.027963761912295	reference_program_score	BA9	Drop BA9	ASD_lower	ASD_lower	TRUE	0.0296086890836064	0.0297678755840559
lme_random_intercept_subject	region;SeqBatch;Sex;Ancestry;Age;Age_sqd;PMI;RIN	596	98	0.446622034648933	0.148038107800196	3.01693963321748	0.00333831165640994	candidate_minus_reference	BA9	Drop BA9	ASD_higher	ASD_higher	TRUE	0.00888854168573871	0.00877458602310103
