program	n_regions_tested	n_direction_match	direction_match_fraction	n_same_sign_as_baseline	same_sign_fraction	min_beta	max_beta	min_p	max_p	max_abs_beta_shift
candidate_minus_reference	11	11	1	11	1	0.346853509345897	0.446622034648933	0.00174534027348265	0.0123736213262827	0.0685085182859523
candidate_program_score	11	11	1	11	1	0.17212392057231	0.210900124238882	0.00322728247867071	0.0132722045675324	0.0255474225852339
reference_program_score	11	11	1	11	1	-0.255267624381937	-0.180426221843794	0.0118683909743952	0.0646564971778207	0.0504886045676364
