metric	mean_case	mean_control	effect_case_minus_control	wilcox_p	lm_p	quasibinomial_logit_effect	quasibinomial_p
prop_c2_within_retained_core	0.260312868989075	0.20584544836022	0.0544674206288541	0.0613583715246348	0.0686638840916545	0.0840174804346453	0.589687320025013
log2_ratio_c2_over_c0	-1.61862429777382	-2.20527080481178	0.586646507037958	0.0626143695552127	0.0639222460514719		
