Rank	Term	P_value	Z_score	Combined_score	Overlapping_genes	Adjusted_p_value	Old_p_value	Old_adjusted_p_value	Library
25	levetiracetam 5284583 rat GSE2880 sample 2669	0.018371352916667447	4.167301184433164	16.656547536819964	GPM6A;PLP1;SPARCL1;ANK2	0.31231299958334663	0	0	Drug_Perturbations_from_GEO_up
26	isoflurane 3763 rat GSE6433 sample 3654	0.021256722431626875	3.315112540192926	12.766770509702624	NTM;NRXN3;PLP1;SPARCL1;MT3	0.3474656551323624	0	0	Drug_Perturbations_from_GEO_up
27	d-serine 71077 rat GSE10748 sample 3388	0.02380477305659524	2.842835581089634	10.626147473409336	SLC24A2;SYT1;PPP2R2B;NRCAM;PLCB1;CLU	0.36292932120909677	0	0	Drug_Perturbations_from_GEO_up
28	phenytoin 1775 rat GSE2880 sample 2670	0.023910637632599315	3.832943925233645	14.310034852449213	GPM6A;PLP1;SPARCL1;ANK2	0.36292932120909677	0	0	Drug_Perturbations_from_GEO_up
29	heroin 5462328 mouse GSE30305 sample 2620	0.030207881878571673	3.0098491843644197	10.533425919581353	PTPRD;ATRNL1;SPARCL1;FAM19A1;DLGAP1	0.4427017171859642	0	0	Drug_Perturbations_from_GEO_up
30	formaldehyde 712 rat GSE7002 sample 3540	0.0316007668326221	3.5017806267806266	12.09715992818746	ROBO2;CTNNA2;PLCB1;RGS6	0.44767753012881306	0	0	Drug_Perturbations_from_GEO_up
31	vemurafenib DB08881 human GSE37441 sample 2564	0.03329421117702152	3.4422268907563027	11.711735480752989	RIMS2;NRG3;LSAMP;PLP1	0.4545635799334158	0	0	Drug_Perturbations_from_GEO_up
32	bleomycin DB00290 human GSE3598 sample 3587	0.034225963665574836	2.9060362771335115	9.807206230666056	DPP10;RIMS2;NELL1;RYR2;PPP2R2B	0.4545635799334158	0	0	Drug_Perturbations_from_GEO_up
33	fluoxetine DB00472 mouse GSE35765 sample 2500	0.03563583461935911	2.872978535724787	9.579669848605269	GPM6A;CNTN1;FAM19A2;SPARCL1;CLU	0.4589463549462916	0	0	Drug_Perturbations_from_GEO_up
34	methamphetamine 10836 mouse GSE30305 sample 2616	0.03744822905506793	2.8326808757430766	9.30477840877071	NTRK2;ATRNL1;SPARCL1;LRRC4C;DCLK1	0.4681028631883491	0	0	Drug_Perturbations_from_GEO_up
35	estradiol DB00783 rat GSE5315 sample 2537	0.04403039518197445	2.703601108033241	8.443008537259221	ARPP21;MYT1L;SPARCL1;NCAM1;MT3	0.5346547986382612	0	0	Drug_Perturbations_from_GEO_up
36	PD173074 1401 human GSE52452 sample 2578	0.047009452963745854	3.864413415111575	11.815082966904622	NRXN3;CNTN3;LRP1B	0.5414911154276317	0	0	Drug_Perturbations_from_GEO_up
37	ubiquinol 9962735 mouse GSE15129 sample 3453	0.04714157946075853	3.0638264669163546	9.358763946822073	GPM6A;PLP1;SPARCL1;XKR4	0.5414911154276317	0	0	Drug_Perturbations_from_GEO_up
38	PLX4032 DB05238 human GSE50649 sample 2558	0.05035169322229576	2.9955738705738706	8.952940619065611	LRRTM4;CNTN1;LSAMP;EDIL3	0.5631439373546236	0	0	Drug_Perturbations_from_GEO_up
39	formaldehyde 712 rat GSE7002 sample 3550	0.06498934147171313	2.740771812080537	7.491987452720065	SLC24A2;ROBO2;SPARCL1;CTNNA2	0.7027462991518867	0	0	Drug_Perturbations_from_GEO_up
40	morphine 5288826 mouse GSE7762 sample 3487	0.06624732797871362	2.7222222222222223	7.3890915121650975	GPM6A;GRIA2;PLP1;SPARCL1	0.7027462991518867	0	0	Drug_Perturbations_from_GEO_up
41	methamphetamine 10836 mouse GSE30305 sample 2667	0.06930736490659804	2.3606597138006307	6.301082593213458	NTRK2;ATRNL1;SPOCK3;SPARCL1;LRRC4C	0.7027462991518867	0	0	Drug_Perturbations_from_GEO_up
42	Lipopolysaccharide 11970143 mouse GSE367 sample 3656	0.06944786956324528	2.676912568306011	7.139804682088051	GRIA2;GABRB1;CNTN1;PLP1	0.7027462991518867	0	0	Drug_Perturbations_from_GEO_up
43	cisplatin DB00515 human GSE47856 sample 3143	0.0816177207381711	2.5254127966976263	6.3279492569162334	FRMD5;TENM2;CSMD3;DCLK1	0.8066867747377375	0	0	Drug_Perturbations_from_GEO_up
44	heroin 5462328 mouse GSE30305 sample 2611	0.08589538664094137	2.478596757852077	6.084025957352552	ATRNL1;SPARCL1;FAM19A1;LRRC4C	0.8296713482363655	0	0	Drug_Perturbations_from_GEO_up
45	morphine 5288826 mouse GSE7762 sample 3489	0.09119116314203052	2.8998527245949925	6.94455942297044	GPM6A;SPARCL1;CLU	0.8612498741191771	0	0	Drug_Perturbations_from_GEO_up
46	methamphetamine 10836 mouse GSE30305 sample 2614	0.09858855697826445	2.1113527620704655	4.89158224616362	NTRK2;ATRNL1;SPARCL1;LRRC4C;BPTF	0.8729903307535026	0	0	Drug_Perturbations_from_GEO_up
