Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
6	Etanercept DB00005 human GSE36177 sample 2596	0.00012966193615164553	6.859219434488252	61.39399218854376	CEBPB;IFNGR1;PDK4;HCLS1;CPVL;PLXDC2;RIN2	0.014003489104377717	0	0	Drug_Perturbations_from_GEO_down	1.8537637421798552	3.887187497666805	etanercept db00005	86	etanercept DB00005 human GSE11903 sample 2608	0.2365582097464298	1.817312157518343	2.6197662790003693	PDE1A;PLP1;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.6260619751753306	2.539245342566381	1.8991077578909397
5	cisplatin DB00515 human GSE47856 sample 3152	0.00011948621254911768	5.220374220374221	47.15203602657199	DOCK4;CDK6;BLNK;PLA2G4A;MAML3;PLXDC2;ST6GALNAC3;RIN2;ARHGAP24	0.014003489104377717	0	0	Drug_Perturbations_from_GEO_down	1.8537637421798552	3.922682204835423	cisplatin db00515	43	cisplatin DB00515 human GSE47856 sample 3143	0.0816177207381711	2.5254127966976263	6.3279492569162334	FRMD5;TENM2;CSMD3;DCLK1	0.8066867747377375	0	0	Drug_Perturbations_from_GEO_up	0.09329506305890083	1.0882155375296259	2.4818586580736386	1.947058805238756
10	estradiol DB00783 human GSE46924 sample 2487	0.000592383136659119	6.287234042553192	46.72268034882961	LYN;CDK6;B3GNT5;ST8SIA4;BLNK;RIN2	0.038386427255510905	0	0	Drug_Perturbations_from_GEO_down	1.4158223071433877	3.227397313013981	estradiol db00783	35	estradiol DB00783 rat GSE5315 sample 2537	0.04403039518197445	2.703601108033241	8.443008537259221	ARPP21;MYT1L;SPARCL1;NCAM1;MT3	0.5346547986382612	0	0	Drug_Perturbations_from_GEO_up	0.2719265309394467	1.3562474166394827	2.239405726943723	1.6877488380828345
16	vemurafenib DB08881 human GSE37441 sample 2563	0.0023130205636658955	4.132173492811405	25.07899151663903	RBM47;CEBPB;SPRED1;CDK6;USP53;ANKS1A;ETV6	0.09367733282846877	0	0	Drug_Perturbations_from_GEO_down	1.0283654829481632	2.635820506162832	vemurafenib db08881	22	vemurafenib DB08881 human GSE63790 sample 2508	0.00973351322858435	4.070866141732283	18.856986255698335	GPM6A;CADM2;PCDH7;DMD;LRP1B	0.18803377827947038	0	0	Drug_Perturbations_from_GEO_up	0.7257641273178457	2.011730376545951	2.1934893879893824	1.7541296102660089
9	metformin DB00331 human GSE33612 sample 2483	0.0003262156035303016	5.078520441271901	40.77011850966085	LYN;FGD4;CDK6;CHST11;WNT5A;OLR1;PLXDC2;PLD1	0.023487523454181716	0	0	Drug_Perturbations_from_GEO_down	1.6291627732132228	3.4864952696444913	metformin db00331	114	metformin DB00331 human GSE33612 sample 2483	0.36874977265728914	1.5722288915566227	1.5685136955847134	ANK2;PRKG1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.4332682387662288	2.097893110976763	1.6745067889243073
87	morphine 5288826 mouse GSE7762 sample 3492	0.08232309594637906	2.5174897119341564	6.2864325709885955	P2RY12;PRKCH;RAP1A;PICALM	0.6114138337876361	0	0	Drug_Perturbations_from_GEO_down	0.2136647391956902	1.0844783053113924	morphine	13	morphine 5288826 mouse GSE7762 sample 3490	0.001191810327773062	4.664761126990609	31.40448664181636	SLC24A2;ROBO2;FAM155A;SYT1;NTM;FAM19A2;OPCML	0.03720291807369962	0	0	Drug_Perturbations_from_GEO_up	1.4294229941610408	2.923792855464834	2.0199969254847807	1.643087733356731
573	nicotinamide riboside 439924 mouse GSE62194 sample 3468	0.8123207794376563	0.5990205081114172	0.12451238380495991	TLR2	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.09027243722523104	nicotinamide riboside	16	nicotinamide riboside 439924 mouse GSE62194 sample 3468	0.0023240770352469936	4.765876547204918	28.902335636583107	RIMS2;PCDH9;NTM;KCNIP4;DLGAP1;PRKG1	0.061733296248748265	0	0	Drug_Perturbations_from_GEO_up	1.2094805332641707	2.6337494806585573	1.5518237598316937	1.261555279627813
13	curcumin 969516 human GSE10896 sample 3407	0.001348082628737665	4.562036019840874	30.150824389821846	LYN;PHC2;PTPRC;RNF13;OLR1;PIK3AP1;RIN2	0.06719673410938515	0	0	Drug_Perturbations_from_GEO_down	1.172651833980988	2.8702834875447443	curcumin	203	Curcumin 969516 human GSE16160 sample 3425	0.7003672839686657	0.8344792462439521	0.2972001091279682	CLU	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.15467414917301342	1.5224760946815705	1.2179958496920724
57	resveratrol DB02709 human GSE32357 sample 3499	0.034575105728962476	2.8977020014825796	9.749670001221762	APBB1IP;PTPRC;CHST11;PTPRJ;PIK3AP1	0.3914808427091456	0	0	Drug_Perturbations_from_GEO_down	0.4072894854815732	1.4612364831655853	resveratrol db02709	19	resveratrol DB02709 mouse GSE11291 sample 3505	0.0072602522462910215	4.385370205173952	21.599442382777305	GPM6A;GABRB1;PLP1;SPARCL1;CLU	0.1624003791933518	0	0	Drug_Perturbations_from_GEO_up	0.7894129610468879	2.1390482901443706	1.5101935703684517	1.196702446528461
368	d-serine 71077 rat GSE10748 sample 3390	0.6080733489730797	1.0764400764400763	0.5354856269608474	ELMO1	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.052074746363642295	0.21604403070600964	d-serine	18	d-serine 71077 rat GSE10748 sample 3390	0.004761704773726234	3.6049509920477663	19.276211999617644	SLC24A2;SYT1;ATRNL1;NRCAM;PLCB1;DCLK1;OPCML	0.1124291404907583	0	0	Drug_Perturbations_from_GEO_up	0.9491211094600269	2.3222375344070323	1.1993128320894542	1.0011958558236693
