shared_perturbagen
1-piperonylpiperazine
4-hydroxynonenal
acrylamide
alfacalcidol
alitretinoin db00523
alpha-tocopherol
amoxicillin db01060
angiotensin ii
azacitidine db00928
bexarotene
bexarotene db00307
bleomycin db00290
cadmium
cadmium dichloride
calcitriol
celecoxib db00482
cetuximab db00002
chlorpyrifos
cisplatin db00515
clozapine
coenzyme q10
colchicine db01394
colorectal adenocarcinoma db00482
corticosterone
curcumin
cyfluthrin
cytarabine 2xec50
d-serine
dapt
dasatinib db01254
decitabine
decitabine db01262
deltamethrin
dexamethasone db01234
diclofenac db00586
diethylstilbestrol db00255
doxorubicin 2xec50
doxycycline db00254
estradiol
estradiol db00783
etanercept db00005
ethanol
fasudil
fenretinide
fenretinide db05076
fgfr-specific pd173074 inhibitor
fluticasone
formaldehyde
genistein
haloperidol
halothane
heroin
hypochlorous acid
imatinib db00619
isoflurane
isoflurane db00753
isotretinoin db00982
laccaic acid
lapatinib db01259
letrozole
lipopolysaccharide
mehp
mek inhibitor meki -azd6244
menadione db00170
metformin db00331
methamphetamine
methotrexate db00563
methylprednisolone
metoprolol db00264
monuron
morphine
morphine db00295
motexafin gadolinium
nicotinamide riboside
oprelvekin db00038
perfluorooctanoic acid
permethrin db04930
phenytoin
phorbol ester 12-o-tetradecanoylphorbol-13-acetate tpa
phosgene
pimecrolimus db00337
pioglitazone db01132
plx4032 db05238
plx4720
pristane
puromycin ec50
pyrazinamide
quercetin db04216
rapamycin db00877
resveratrol db02709
retinoic acid
rituximab db00073
rosiglitazone
rosiglitazone db00412
rpi-1
sapphyrin pci-2050
sb
sodium arsenite
sodium butyrate
soman
tamoxifen db00675
thapsigargin
tibolone
titanium dioxide na
tretinoin db00755
trichloroethylene
triiodothyronine- 13c6 hydrochloride t3
troglitazone db00197
ubiquinol
vanadium pentoxide
vancomycin db14969
vemurafenib db08881
vincristine
vitamin c db00126
vitamin d3 db00136
vx
