Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
368	d-serine 71077 rat GSE10748 sample 3390	0.6080733489730797	1.0764400764400763	0.5354856269608474	ELMO1	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.2160440307060096	d-serine	18	d-serine 71077 rat GSE10748 sample 3390	0.0047617047737262	3.6049509920477663	19.276211999617644	SLC24A2;SYT1;ATRNL1;NRCAM;PLCB1;DCLK1;OPCML	0.1124291404907583	0	0	Drug_Perturbations_from_GEO_up	0.9491211094600268	2.3222375344070323	1.1993128320894542	1.001195855823669
23	imatinib DB00619 human GSE1922 sample 2520	0.0048803883201919	4.073671079076859	21.68223851839761	LYN;CEBPB;PELI1;DLEU2;TM6SF1;SAMSN1	0.1374996361514954	0	0	Drug_Perturbations_from_GEO_down	0.8616984510526775	2.311545620905678	imatinib db00619	70	imatinib DB00619 human GSE1418 sample 2521	0.1923971032910007	2.027479915870772	3.3416798199151025	PCDH9;CLU;PRKG1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.7158014709375217	1.1572816501468892	0.907042466763762
22	Vitamin D3 DB00136 human GSE5145 sample 3170	0.0045162221780739	4.1421727490488935	22.36806188219085	SH3RF3;ANKRD44;SLC9A9;GNB4;PDK4;PLA2G4A	0.1330232714269061	0	0	Drug_Perturbations_from_GEO_down	0.8760723758133793	2.3452247008617664	vitamin d3 db00136	129	Vitamin D3 DB00136 human GSE5145 sample 3170	0.430225506881204	1.3800140745953553	1.1639670381116498	ZNF385B;DCLK1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.3663038450657718	1.1567366807274888	0.9214163915244638
21	cetuximab DB00002 human GSE61495 sample 3136	0.0044525024386826	3.3060528559249787	17.899925595019603	MKLN1;SPRED1;CDK6;IFNGR1;TCF12;PLD1;FBXO11;IL13RA1	0.1330232714269061	0	0	Drug_Perturbations_from_GEO_down	0.8760723758133793	2.3513958339969747	cetuximab db00002	292	cetuximab DB00002 human GSE61495 sample 3134	0.7868328435807778	0.6489485014075178	0.1555785568700312	GABRB1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.1041175202725309	1.10197143304336	0.9214163915244638
28	calcitriol 5280453 human GSE52819 sample 3129	0.0071373200222398	4.404255319148936	21.7676704141288	MEF2A;CX3CR1;SCIN;FOXN3;TGFBR1	0.1651779776575508	0	0	Drug_Perturbations_from_GEO_down	0.7820478554378393	2.146464829966213	calcitriol	102	calcitriol 5280453 human GSE52819 sample 3126	0.3196701323194464	1.7608306480486933	2.008166871974629	PCDH9;NTM	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.4952979391890831	1.065150244009958	0.8273918711489238
27	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385	0.0065561693966387	3.820612922115948	19.207553712931627	CX3CR1;CEBPB;ST8SIA4;FOXN3;RIN2;TLR2	0.1573480655193302	0	0	Drug_Perturbations_from_GEO_down	0.8031385920545082	2.183349833766114	hypochlorous acid	227	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3385	0.74007117960611	0.745576061365535	0.2244250366238864	FAM19A2	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.1307265080750815	1.0428023952611478	0.8484826077655927
29	vitamin c DB00126 mouse GSE19379 sample 3513	0.0087117104640192	4.1877264010228	19.86275118853376	CDK6;RNF13;B3GNT5;TBC1D12;ETV6	0.1946616682994655	0	0	Drug_Perturbations_from_GEO_down	0.7107195589317319	2.0598965669033693	vitamin c db00126	49	vitamin c DB00126 mouse GSE32994 sample 3508	0.1032790581078575	2.3139204545454546	5.2533413956820585	DPP10;GPM6A;CDH12;NRCAM	0.895787748894683	0	0	Drug_Perturbations_from_GEO_up	0.047794881413344	0.9859877314351418	1.009675366187234	0.7585144403450759
214	isoflurane DB00753 rat GSE1779 sample 2771	0.3343261526148192	1.7004496713939814	1.863077715172884	RNF13;HNRNPC	0.8870033368773822	0	0	Drug_Perturbations_from_GEO_down	0.0520747463636422	0.4758296494557255	isoflurane db00753	20	isoflurane DB00753 rat GSE1779 sample 2770	0.0086165793501303	3.596725734257159	17.099075481654182	GPM6A;CADM1;ARPP21;ATRNL1;MT3;OPCML	0.1831023111902695	0	0	Drug_Perturbations_from_GEO_up	0.7373061738258521	2.0646651082121825	0.979002452157765	0.7893809201894944
30	doxycycline DB00254 human GSE41035 sample 3040	0.0091400397203455	4.136842105263158	19.422848265974604	GPR34;BLNK;HCLS1;OLR1;CPVL	0.1974248579594636	0	0	Drug_Perturbations_from_GEO_down	0.7045981657750403	2.0390519169259718	doxycycline db00254	95	doxycycline DB00254 human GSE11422 sample 2573	0.2920110215935288	1.8862700009581297	2.3219299603971795	PCDH9;FAM19A1	0.9008572629410596	0	0	Drug_Perturbations_from_GEO_up	0.0453440157110845	0.5346007563361099	0.9673899637498428	0.7499421814861248
43	ubiquinol 9962735 human GSE21351 sample 3448	0.0220354110775969	3.282936640965471	12.524746434880296	LYN;PTPRC;IFNGR1;HCLS1;TLR2	0.3320685204251812	0	0	Drug_Perturbations_from_GEO_down	0.4787722928858963	1.656878843176903	ubiquinol	37	ubiquinol 9962735 mouse GSE15129 sample 3453	0.0471415794607585	3.063826466916354	9.358763946822071	GPM6A;PLP1;SPARCL1;XKR4	0.5414911154276317	0	0	Drug_Perturbations_from_GEO_up	0.2664086647125444	1.326595870695861	0.9640160614154644	0.7451809575984407
