Rank_candDown	Term_candDown	P_value_candDown	Z_score_candDown	Combined_score_candDown	Overlapping_genes_candDown	Adjusted_p_value_candDown	Old_p_value_candDown	Old_adjusted_p_value_candDown	Library_candDown	neglog10_adjP_down	neglog10_P_down	perturbagen_norm	Rank_refUp	Term_refUp	P_value_refUp	Z_score_refUp	Combined_score_refUp	Overlapping_genes_refUp	Adjusted_p_value_refUp	Old_p_value_refUp	Old_adjusted_p_value_refUp	Library_refUp	neglog10_adjP_up	neglog10_P_up	reversal_score	support_strength
20	estradiol DB00783 human GSE24592 sample 2732	1.4871504012927131e-05	6.040024630541872	67.14129829198822	MYO1E;TNFAIP8;KLF6;RAB20;CEBPD;FAM13A;REL;ARID5B;NEDD9;INTS6	0.0006149366909345	0	0	Drug_Perturbations_from_GEO_down	3.211169593481592	4.827645107370157	estradiol db00783	140	estradiol DB00783 human GSE26834 sample 2733	0.4115574118069969	1.299142458286246	1.15338744397989	MAN2C1;ANKRD36B;CC2D2B	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.3855695726223385	3.90610533505121	3.223158477691529
19	Retinoic acid 444795 mouse GSE1588 sample 3632	1.356860961069324e-05	5.019809621816311	56.26077906906773	PPP1CB;ITGB1;KLF6;ELOVL5;PTGES3;CLTC;MSN;TOP1;BCAT1;HIF1A;CDC42SE2;CORO1C	0.0005905915867391	0	0	Drug_Perturbations_from_GEO_down	3.228712744060408	4.867464652660126	retinoic acid	62	Retinoic acid 444795 human GSE23702 sample 3231	0.2287696403487698	1.8464215179159225	2.723545077060507	PLCB2;PRAM1;PTGS1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.640601610577637	3.830544869731628	3.2407016282703456
23	menadione DB00170 mouse GSE23725 sample 2780	2.107934346928796e-05	5.787485242030696	62.31510936658009	VMP1;SOAT1;H2AFY;ELOVL5;SPP1;PGK1;FNDC3B;NEAT1;HSPA1B;MPZL1	0.0007579398717	0	0	Drug_Perturbations_from_GEO_down	3.120365246115507	4.676142919650461	menadione db00170	340	menadione DB00170 mouse GSE23725 sample 2780	0.7384026827968861	0.761755975628808	0.2310146591721101	HTRA1;IGF1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.131706734081593	3.757815370582967	3.132354130325445
30	trastuzumab DB00072 human GSE31432 sample 3123	5.1525693696967794e-05	5.17989417989418	51.14332242668024	DNAJA1;VMP1;RAB31;ELOVL5;PTGES3;SPP1;MSN;B2M;CNDP2;HSPD1	0.001420391622913	0	0	Drug_Perturbations_from_GEO_down	2.847591897714658	4.287976152547542	trastuzumab db00072	306	trastuzumab DB00072 human GSE31432 sample 3123	0.6951546367085074	0.8300186979432262	0.3018121951875214	CIRBP;PTGS1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.157918576130695	3.374032128143273	2.859580781924596
32	PLX4720 CID 24180719 human GSE50791 sample 2507	5.9749926958916926e-05	5.084415584415584	49.44768342633424	ITGB1;KLF6;P4HA1;AGO2;HLA-B;PGK1;MSN;TXNIP;PARP9;B2M	0.0015441621748445	0	0	Drug_Perturbations_from_GEO_down	2.8113070900485853	4.223662621281226	plx4720 cid	516	PLX4720 CID 24180719 human GSE50791 sample 2505	0.8964748599471712	0.4403405252015675	0.0481226269679516	FCGRT	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0474618849521134	3.318254034791545	2.823295974258523
31	HYPOCHLOROUS ACID 24341 human GSE11630 sample 3198	5.514462803799512e-05	4.316326530612245	42.32396089280319	DNAJA1;SDCBP;PLSCR1;TNFAIP8;VAPA;CLTC;SPP1;FNDC3B;TXNIP;HIF1A;CNDP2;CORO1C	0.0014711163673361	0	0	Drug_Perturbations_from_GEO_down	2.832352972620445	4.258496788338719	hypochlorous acid	30	HYPOCHLOROUS ACID 24341 mouse GSE15457 sample 3380	0.1268751104299709	1.932421720174396	3.989585240860633	CIRBP;IGF1;PRAM1;ELK3;PTGS1	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.8966235667399047	3.3074773181670207	2.8443418568303827
35	ethanol 702 rat GSE55243 sample 3107	7.738548990840797e-05	4.92102615694165	46.58593374950532	PPP1CB;PTPN1;MBNL2;AGO2;SPP1;PGK1;MSN;MGAT1;RBPJ;HIF1A	0.0017935975870717	0	0	Drug_Perturbations_from_GEO_down	2.7462749890054114	4.111340463651295	ethanol	113	ethanol 702 human GSE44456 sample 3037	0.3547354923176203	1.431570477653427	1.4836551049039106	CLSTN2;CPNE4;CACNA1C	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.4500953569282458	3.2389597617594417	2.7582638732153493
38	cisplatin DB00515 human GSE28274 sample 2531	9.059664494526588e-05	4.409044193216855	41.04420409846134	GNA13;PTGES3;GPBP1;CHST15;PAPOLA;NCK2;TXNIP;SHOC2;TOP1;NEAT1;HIF1A	0.0019361508696412	0	0	Drug_Perturbations_from_GEO_down	2.7130608044141007	4.04288788520108	cisplatin db00515	10	cisplatin DB00515 human GSE42172 sample 3096	0.0470826909827647	2.6392780172413794	8.065237308182416	GAS6-AS1;DNAJC10;RNF19B;NR1D2;DZIP3	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	1.3271387232804417	3.216144102690476	2.7250496886240385
37	decitabine DB01262 human GSE29077 sample 2547	8.185424853007551e-05	4.886113886113886	45.98111845948405	RB1;CAST;SDCBP;PTGES3;PGK1;ADAM9;HIF1A;HSPA1B;HSPA1A;HSPD1	0.0018295530684965	0	0	Drug_Perturbations_from_GEO_down	2.737654988734928	4.08695877422048	decitabine db01262	450	decitabine DB01262 human GSE29077 sample 2538	0.8637218839421303	0.5017675085813822	0.0735111756736723	ANXA4	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.0636260766336934	3.2101901692964434	2.749643872944866
42	BPDE 41322 human GSE19510 sample 3378	0.0001090431796562	5.237514466304639	47.7858596099108	CHSY1;PTGES3;CLTC;PGK1;TXNIP;BCAT1;DCAF6;CORO1C;HSPD1	0.0021471121327554	0	0	Drug_Perturbations_from_GEO_down	2.668145273977696	3.962401493132342	bpde	131	BPDE 41322 human GSE19510 sample 3379	0.3913983165178222	1.3435717721432008	1.260309991509372	SUCLA2;ANXA4;WLS	0.97277212161185	0	0	Drug_Perturbations_from_GEO_up	0.0119888842099379	0.407381046661136	3.1705958542018355	2.680134158187633
