gene	logFC_baseline	FDR_baseline	logFC_neuronal_filtered	FDR_neuronal_filtered	direction_same
ARHGAP21	0.00244410846679491	0.973165649654619	0.00311261748197329	0.966119707343972	TRUE
ARHGAP22	0.0107994477772676	0.865916995122891	-0.00160998776815022	0.978365987973083	FALSE
ARHGAP24	0.23766494485095	1.53834690996389e-05	0.232466290636032	4.76052288395787e-05	TRUE
ARHGAP25	0.0536033360495727	0.448164057506916	0.0356940628175757	0.65208334762822	TRUE
ARHGAP26	0.116219859818883	0.00191349261953773	0.103583602051049	0.00566647917162607	TRUE
ARHGAP27	0.0974552619003246	0.325403841590099	0.0723450050406331	0.49148759677234	TRUE
ARHGAP30	-0.0802022749297351	0.527376385026854	-0.125808030586902	0.316368904095326	TRUE
ARHGAP31	0.104909441541691	0.228313598829989	0.114284414178818	0.197993470928941	TRUE
ARHGAP32	-0.0469904393290293	0.503475159012672	-0.0421386007822441	0.548507412286108	TRUE
ARHGAP35	-0.0586168837924715	0.485418404634877	-0.069495085641303	0.406180385357637	TRUE
ARHGAP4	0.115265811776088	0.371737677020987	0.0702121632475596	0.629168095798254	TRUE
ARHGAP45	0.00250980725870504	0.984069984788748	-0.00477217137951506	0.968552347477669	FALSE
ARHGAP5	0.0327239094692266	0.718791666550146	0.0416109271970537	0.659979482605755	TRUE
ARHGAP6	0.14647036990094	0.0182987421084145	0.15348657371704	0.016538642136565	TRUE
ARHGDIB	0.0390049470689607	0.751578252782804	0.0286545846047279	0.831517469920531	TRUE
ARHGEF1	-0.0692271009559167	0.558310353293774	-0.0923892452044191	0.442774833421494	TRUE
ARHGEF10L	0.0492578980848251	0.72117469242199	0.053774253775409	0.716894974075928	TRUE
ARHGEF11	0.079724034758173	0.293565805439442	0.0685954689371713	0.397364801957018	TRUE
ARHGEF12	-0.130993686664968	0.130402229189429	-0.14844943211366	0.108339020894266	TRUE
ARHGEF2	-0.0100588129919266	0.933915069076238	-0.0277453180769114	0.821718112752047	TRUE
ARHGEF40	-0.059961483019585	0.626078604252584	-0.0656325034812713	0.599266302491023	TRUE
ARHGEF6	0.0657064848420519	0.405024293649682	0.0576512954512366	0.473042818676244	TRUE
ARHGEF7	-0.0813195563779727	0.244780663392178	-0.106303930145505	0.135413055173568	TRUE
ARHGEF9	-0.0901238754838227	0.413798159173586	-0.102429974300431	0.369800727048467	TRUE
ARID1A	-0.0204491705849459	0.793219154490877	-0.0220110402247916	0.784716905596041	TRUE
ARID1B	0.0559363250275653	0.328186629292703	0.057714202084875	0.307746804103251	TRUE
ARID2	0.191195947170097	0.00216722413762274	0.184858245946326	0.00527611692415045	TRUE
ARID3A	0.0418114181357426	0.669256965411113	0.0325911805502941	0.75806573508289	TRUE
ARID4A	-0.105348688836609	0.163821017430592	-0.0992544514594231	0.206121409849593	TRUE
ARID4B	-0.023078351615913	0.756492239428797	-0.0275798697179062	0.71995349957767	TRUE
ARID5A	0.0750591441171734	0.561409307582936	0.0029905980340065	0.984710064141445	TRUE
ARID5B	-0.00411895378746178	0.971468976097821	-0.0143900929123862	0.912825459631966	TRUE
ARIH1	0.161228466645411	0.0490439856219141	0.180312991464362	0.045439783078441	TRUE
ARIH2	0.077913749976961	0.425630107490396	0.0781854931220113	0.45426755797345	TRUE
ARL15	0.102134082732904	0.0466127150616969	0.0963276381794516	0.073852047830819	TRUE
ARL17B	-0.000742436158555358	0.996210946990835	-0.0211423222502982	0.890391527507377	TRUE
ARL5A	0.167880923235023	0.0287554716522481	0.153621917364023	0.0617702061813468	TRUE
ARL6IP4	-0.201342040489788	0.0806881151713762	-0.226590365180392	0.0781660822181059	TRUE
ARL6IP5	-0.191602043960573	0.0531769602661313	-0.202247239949071	0.0444811019132992	TRUE
ARL8B	0.141293170123921	0.101403538301331	0.146759904763103	0.124806147444327	TRUE
ARMC8	0.164129323714481	0.0456432949503061	0.174070010497681	0.0376637228211919	TRUE
ARMCX4	0.120384803062586	0.269318486229344	0.134227548279668	0.24007336325185	TRUE
ARMH3	0.0490291446082606	0.553879277660702	0.0502091517471074	0.558095701909917	TRUE
ARMH4	0.130044085721316	0.148965567838615	0.155087644363319	0.100700752695321	TRUE
ARNT	0.136577650254607	0.217076101578824	0.186953416974237	0.110879415789231	TRUE
ARPC2	0.0497151316948232	0.554342923647432	0.0353968077044008	0.683314894801749	TRUE
ARPC3	0.10510500965754	0.308489071696452	0.0974630950333615	0.396452287203023	TRUE
ARPC5	0.070841849146136	0.647458929237157			
ARPP19	-0.179913275472279	0.0566688668474081	-0.165912666348139	0.1218434022392	TRUE
ARPP21	-0.72362083780378	4.99546009248917e-09	-0.81257817990486	4.44770681762564e-09	TRUE
ARRB1	0.0911445589644303	0.220622407398217	0.0622316082001589	0.446421901987635	TRUE
ARRB2	0.033966290931141	0.704342670248874	0.0139404635246697	0.888843619256266	TRUE
ARRDC5	-0.310385573565554	0.012000794625931	-0.342625342097118	0.00770370985671506	TRUE
ARSB	-0.0863280020133312	0.352294988147205	-0.0848522617307975	0.3971571593862	TRUE
ARSG	-0.10544639711287	0.54730327984431			
ASAH1	0.204012213793607	0.017495479439743	0.213414552316869	0.0214778369183651	TRUE
ASAP1	0.0227556125716297	0.791355644759813	-0.00672176376809939	0.942430773119187	FALSE
ASCC1	-0.0407905317346479	0.78476595888212	0.013650528678738	0.938442125489101	FALSE
ASCC2	0.111809023874382	0.361141866792989	0.100774350901808	0.452735483993387	TRUE
ASCC3	0.0548819036062306	0.495090518292809	0.0580073336827354	0.485438868659816	TRUE
ASH1L	-0.0144256529356404	0.823244290834621	-0.0475409515943938	0.397364801957018	TRUE
ASIC2	-0.708722054501458	6.40144001338269e-05	-0.774293184927162	0.000130305380617115	TRUE
ASPH	0.0276111657420317	0.79686041082018	-0.00900380787399894	0.942430773119187	FALSE
ASTN1	-0.11961231409445	0.243815996293105	-0.122384520349665	0.289677783261781	TRUE
