variable	mean_cluster0	mean_cluster2	effect_cluster2_minus_0	wilcox_p
nCount_RNA	1968.1664799253	4205.12549618321	2236.9590162579	0
nFeature_RNA	1293.32268907563	2175.39236641221	882.069677336584	0
percent.mt	1.63549898794129	1.32036663856062	-0.315132349380677	6.87559204272948e-58
percent_mito	0.738454791961718	0.48635598708397	-0.252098804877749	1.29062296194824e-168
single_scrublet_score	0.0628333055259384	0.0522279605613435	-0.0106053449645949	1.03658734454915e-12
