variable	level	mean_cluster0	mean_cluster2	effect_cluster2_minus_0	paired_wilcox_p
ms_microglia_homeostatic	donor	-0.0426036168467214	0.163047678357674	0.205651295204396	1.97913715873191e-10
ms_microglia_activation	donor	-0.190390758635204	-0.0515061143109285	0.138884644324276	1.67212503682841e-10
ms_neuronal_synaptic	donor	-0.171559053377546	-0.304323434084026	-0.13276438070648	1.27748118251867e-09
ms_astrocyte	donor	-0.143022801465402	-0.116875715146524	0.0261470863188776	0.148032352875999
ms_oligodendrocyte	donor	-0.041496776599783	-0.0159136526332406	0.0255831239665424	0.679393815756925
ms_opc	donor	-0.0754679772315762	-0.0650716529403975	0.0103963242911788	0.2425789647578
ms_endothelial	donor	-0.0431132700097987	-0.0297204893676507	0.013392780642148	0.0927448922898938
ms_lymphocyte	donor	-0.0275002811588741	-0.00695076877083447	0.0205495123880396	0.304341738402463
