logFC	AveExpr	t	P.Value	adj.P.Val	B	gene
0.23988847172355	9.39801444194015	6.60975245624828	9.70090045180285e-09	3.3363013470492e-07	9.57302620979214	PTPRC
0.223982766681266	10.363442469908	6.09870048386021	7.31441657600264e-08	1.93503828263865e-06	7.42858276679473	PICALM
0.200816833261993	10.1767561090223	6.07069457734612	8.16345808763515e-08	2.13336629488225e-06	7.34677420804021	BMP2K
0.158212038788351	12.9444212828154	6.03757512445702	9.29429893036851e-08	2.31069708949583e-06	6.75749153030003	PLXDC2
0.210420078207413	11.060310079701	5.92139377918553	1.4632578035486e-07	3.43117327002562e-06	6.63439255369689	SRGAP2
0.163269519280103	11.4235912965679	5.7602372134843	2.73663612389297e-07	5.9757128483102e-06	5.95167686626335	MEF2A
0.249139613542802	10.1385450603101	5.75615961521325	2.7801759309632e-07	6.03883477215006e-06	6.16085435948977	SRGAP2B
0.23902118235975	11.4707016904196	5.74466743671261	2.90660561561164e-07	6.28039862598389e-06	5.86708589437475	ARHGAP24
0.208755031180948	10.4370010976823	5.43149980455853	9.673576185744e-07	1.83132334488832e-05	4.87378581830404	TCF12
0.277916848513511	8.59651407562727	5.35640792591555	1.2868238670113e-06	2.29901389573837e-05	4.93474227766864	SOCS6
0.270129974406779	9.53626530012246	5.27624678833711	1.74267726404204e-06	2.9596827443216e-05	4.47051803844614	BNC2
0.222796602135403	9.08479558452209	5.18570930592114	2.45008291783104e-06	3.98219788498357e-05	4.19809937823296	IL6ST
0.218934299484047	9.17472794613873	5.14930995727248	2.80817922884989e-06	4.51299140070447e-05	4.07935074110473	RAP1A
0.23690409311129	9.38076082116569	5.07756915493134	3.67086564806792e-06	5.73850853393042e-05	3.77515901640467	SRGAP2C
0.259762576516832	8.47133084374574	5.01046343448341	4.71055210879734e-06	7.17359725203197e-05	3.67705555475823	GNB4
0.159984230229046	11.0457845183672	5.0054781192775	4.79840621696865e-06	7.2805229622903e-05	3.21026306584345	SLC9A9
0.207954226025185	9.2906255228818	4.95040059653092	5.88253109269386e-06	8.7643342308836e-05	3.32923618726292	SPRED1
0.173202691641232	10.4165996442686	4.93590069798272	6.20574971626437e-06	9.14763594065836e-05	3.0650000654067	ZEB2
0.2302733481315	8.57809024171064	4.88925879252245	7.36792167468039e-06	0.000107446688167512	3.22741368918807	PIK3AP1
0.275934283690749	7.97018524935008	4.8794042989672	7.63944507624959e-06	0.000110624525718183	3.29830485667197	PHC3
0.438928878981837	5.77237751640855	4.84939283462947	8.52809564413795e-06	0.000122206426122768	3.41016334254519	C1QC
0.19471359622259	9.89307021148487	4.78673505338801	1.07216047657524e-05	0.000150503615198164	2.63316119057853	FGD4
0.229184303425095	8.64942898907188	4.78221453381743	1.08996387454014e-05	0.000152484098651768	2.80413573579351	TGFBR1
0.289853974983828	8.28506382831261	4.77420952688483	1.12220186294428e-05	0.000155936939002392	2.87968267789509	B3GNT5
0.204856772335374	8.39099024318118	4.77057957552449	1.13712581851912e-05	0.000157480478289544	2.80551287005102	FAM13A
0.175192712399833	10.4098431560917	4.74526729604345	1.24672061577557e-05	0.000170937408016803	2.38347410144631	FAM49B
0.221132621911559	8.94547224247561	4.725986675968	1.33705891888808e-05	0.000181514544679312	2.59349519589557	BLNK
0.298467243129248	7.81747301169362	4.71293419808273	1.40181185678757e-05	0.000189681230588928	2.7411683724146	PLA2G4A
0.316447467164185	7.20648402189013	4.71076590280036	1.41286122356403e-05	0.000190250328931245	2.75298481677328	CPVL
0.189392131253657	11.0913888070447	4.68359237982902	1.55875386526649e-05	0.000206848141541955	2.03248079824237	MAML2
