variable	level	mean_cluster0	mean_cluster2	effect_cluster2_minus_0	wilcox_p
ms_microglia_homeostatic	cell	-0.049172815703076	0.16080636829922	0.209979184002296	1.05354844316115e-216
ms_microglia_activation	cell	-0.0222809398802069	0.0728637759135928	0.0951447157937997	1.89962457563162e-54
ms_neuronal_synaptic	cell	0.0397096782913159	-0.129859741832059	-0.169569420123375	3.72752846308591e-68
ms_astrocyte	cell	0.00345230834487126	-0.0112898388926935	-0.0147421472375647	0.0723091731548768
ms_oligodendrocyte	cell	-6.86718785601494e-05	0.000224572769276123	0.000293244647836273	2.42159600247324e-11
ms_opc	cell	0.0071896873711137	-0.0235119241968328	-0.0307016115679465	0.176550506726163
ms_endothelial	cell	-0.00265075792263527	0.00866858545081638	0.0113193433734517	4.3229291277993e-12
ms_lymphocyte	cell	-0.000323940618799837	0.00105936000834999	0.00138330062714983	0.00388036535828882
